"Virus name"; "Genome length"; "Genome type"; "Genome segments"; "Taxonomy ID"; "RefSeq ID"; "Updated"
Staphylococcus phage K, complete genome;148317;linear DNA;1;2928685;NC_005880;2023-01-11
Staphylococcus phage G1, complete genome;138715;linear DNA;1;2908166;NC_007066;2023-01-11
Staphylococcus phage G15, complete genome;139806;linear DNA;1;760530;NC_019448;2023-01-08
Staphylococcus phage JD007, complete genome;141836;circular DNA;1;1239383;NC_019726;2023-01-08
Staphylococcus phage S25-4, complete genome;132123;circular DNA;1;1041527;NC_022918;2023-01-08
Staphylococcus phage S25-3, complete genome;139738;circular DNA;1;1041526;NC_022920;2023-01-08
Staphylococcus phage Sb1, complete genome;127188;linear DNA;1;1007127;NC_023009;2023-01-08
Staphylococcus phage phiSA12, complete genome;142094;linear DNA;1;1450142;NC_023573;2023-01-08
Staphylococcus phage MCE-2014, complete genome;141907;linear DNA;1;1524910;NC_025416;2023-01-08
Staphylococcus phage Team1, complete genome;140903;linear DNA;1;1262512;NC_025417;2023-05-08
Staphylococcus phage P108, complete genome;140807;linear DNA;1;1526408;NC_025426;2023-01-08
Staphylococcus phage phiIPLA-RODI, complete genome;142348;linear DNA;1;1572703;NC_028765;2023-01-08
Staphylococcus phage 812, complete genome;142096;linear DNA;1;307898;NC_029080;2023-01-08
Staphylococcus phage ISP, complete genome;138339;linear DNA;1;1028375;NC_047720;2023-05-08
Staphylococcus phage SA5, complete genome;137031;linear DNA;1;1239385;NC_047721;2023-05-08
Staphylococcus phage Staph1N, complete genome;145647;linear DNA;1;1195076;NC_047722;2023-05-08
Staphylococcus phage A3R, complete genome;141018;linear DNA;1;1195077;NC_047723;2023-05-08
Staphylococcus phage 676Z, complete genome;148564;linear DNA;1;1195081;NC_047724;2023-05-08
Staphylococcus phage Fi200W, complete genome;148481;linear DNA;1;1195078;NC_047725;2023-05-08
Staphylococcus phage MSA6, complete genome;148243;linear DNA;1;1195079;NC_047726;2023-05-08
Staphylococcus phage P4W, complete genome;147590;linear DNA;1;1195080;NC_047727;2023-05-08
Staphylococcus phage A5W, complete genome;145542;linear DNA;1;516541;NC_047728;2023-05-08
Staphylococcus phage IME-SA1, complete genome;140218;circular DNA;1;1610830;NC_047729;2023-05-08
Staphylococcus phage IME-SA2, complete genome;140906;circular DNA;1;1610831;NC_047730;2023-05-08
Staphylococcus phage IME-SA118, complete genome;139750;linear DNA;1;1673884;NC_047731;2023-05-08
Staphylococcus phage IME-SA119, complete genome;141028;linear DNA;1;1673874;NC_047732;2023-05-08
