fungi_OG	read_count_sum	RPK_sum	fungi_eggnog_cat	fungi_eggnog_desc	LIBID	feature_class
3NTVF|Fungi	1122	1172.1791824860343	L	Dna repair helicase rad25	MHS530	fungi_OG
3NTVH|Fungi	468	298.30846224252315	Q	amine oxidase	MHS530	fungi_OG
3NTVI|Fungi	914	689.4545414854567	I	cytomegalovirus gh-receptor family protein	MHS530	fungi_OG
3NTVK|Fungi	3050	1827.3851584393342	I	Cral trio domain protein	MHS530	fungi_OG
3NTVM|Fungi	1072	1161.0470762783543	A	Second step of mRNA capping. Transfer of the GMP moiety of GTP to the 5'-end of RNA via an enzyme-GMP covalent reaction intermediate	MHS530	fungi_OG
3NTVQ|Fungi	905	975.2730949701541	S	mRNA processing protein	MHS530	fungi_OG
3NTVR|Fungi	549	821.225554955277	F	Golgi to endosome transport protein	MHS530	fungi_OG
3NTVW|Fungi	298	696.9590795286058	U	snare protein	MHS530	fungi_OG
3NTVY|Fungi	996	1405.209986586674	G	Fructose-2,6-bisphosphatase	MHS530	fungi_OG
3NTVZ|Fungi	535	550.0166630127002	E	dioxygenase	MHS530	fungi_OG
3NTW1|Fungi	43	95.55555555555556	Q	Short chain dehydrogenase	MHS530	fungi_OG
3NTW3|Fungi	1765	1458.9039866339451	T	transporter	MHS530	fungi_OG
3NTW4|Fungi	759	800.4168139780207	H	Thiamine biosynthetic bifunctional	MHS530	fungi_OG
3NTW5|Fungi	2993	2025.591344497972	B	histone deacetylase	MHS530	fungi_OG
3NTW8|Fungi	2914	1617.9037645774538	Z	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family	MHS530	fungi_OG
3NTW9|Fungi	188	478.99913435481864	J	Belongs to the universal ribosomal protein uL5 family	MHS530	fungi_OG
3NTWB|Fungi	290	431.58469033270245	U	Component of the endosomal sorting complex required for transport II (ESCRT-II), which is required for multivesicular body (MVB) formation and sorting of endosomal cargo proteins into MVBs	MHS530	fungi_OG
3NTWD|Fungi	661	691.0584622429822	T	serine threonine-protein kinase	MHS530	fungi_OG
3NTWE|Fungi	855	1175.1128421336302	C	Belongs to the mitochondrial carrier (TC 2.A.29) family	MHS530	fungi_OG
3NTWF|Fungi	1024	959.4569077265405	B	histone deacetylase	MHS530	fungi_OG
3NTWG|Fungi	912	708.4264175126713	K	Functions as component of the transcription regulatory histone acetylation (HAT) complexes SAGA, SALSA and ADA. SAGA is involved in RNA polymerase II-dependent transcriptional regulation	MHS530	fungi_OG
3NTWH|Fungi	404	406.67301957462314	J	Belongs to the universal ribosomal protein uS5 family	MHS530	fungi_OG
3NTWM|Fungi	2761	1305.0008155584744	E	The AROM polypeptide catalyzes 5 consecutive enzymatic reactions in prechorismate polyaromatic amino acid biosynthesis	MHS530	fungi_OG
3NTWN|Fungi	684	765.6327264943079	T	The B regulatory subunit might modulate substrate selectivity and catalytic activity, and also might direct the localization of the catalytic enzyme to a particular subcellular compartment	MHS530	fungi_OG
3NTWQ|Fungi	662	492.79231863947274	K	to Saccharomyces cerevisiae NGL3 (YML118W) and NGL2 (YMR285C)	MHS530	fungi_OG
3NTWS|Fungi	709	573.0723924992691	J	Acts as an adapter for the XPO1 CRM1-mediated export of the 60S ribosomal subunit	MHS530	fungi_OG
3NTWU|Fungi	774	921.7779155942986	T	serine threonine-protein phosphatase	MHS530	fungi_OG
3NTWV|Fungi	108	205.7478097060569	P	Phosphate transporter	MHS530	fungi_OG
3NTWW|Fungi	334	751.3973799481386	S	Mitochondrial protein	MHS530	fungi_OG
3NTWY|Fungi	1237	676.3735461299904	T	STE STE20 PAKA protein kinase	MHS530	fungi_OG
3NTX1|Fungi	2842	1403.2438316094633	K	phd transcription factor	MHS530	fungi_OG
3NTX4|Fungi	1	4.11522633744856	E	Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family	MHS530	fungi_OG
3NTX5|Fungi	71	94.8558044210218	E	Prephenate dehydratase	MHS530	fungi_OG
3NTX6|Fungi	1836	1128.637805591004	UY	Nuclear pore complex	MHS530	fungi_OG
3NTX7|Fungi	1830	924.6023006228459	UY	Importin 11	MHS530	fungi_OG
3NTXB|Fungi	4	7.207207207207206	L	or apyrimidinic site) lyase	MHS530	fungi_OG
3NTXD|Fungi	2283	1154.815673206749	L	Dna polymerase gamma	MHS530	fungi_OG
3NTXE|Fungi	440	499.5731639189883	A	Belongs to the class I-like SAM-binding methyltransferase superfamily. mRNA cap 0 methyltransferase family	MHS530	fungi_OG
3NTXF|Fungi	310	577.794819376939	J	Belongs to the eukaryotic ribosomal protein eS4 family	MHS530	fungi_OG
3NTXG|Fungi	322	482.9533111053064	K	-phosphatase	MHS530	fungi_OG
3NTXH|Fungi	554	859.2332157773749	J	Belongs to the class-I aminoacyl-tRNA synthetase family	MHS530	fungi_OG
3NTXI|Fungi	484	795.3055391779635	O	Deoxyhypusine synthase	MHS530	fungi_OG
3NTXM|Fungi	538	538.5949458691298	S	WD-repeat protein pop3	MHS530	fungi_OG
3NTXN|Fungi	7	6.18921308576481	S	NA	MHS530	fungi_OG
3NTXR|Fungi	291	330.8953152004073	A	factor SLT11	MHS530	fungi_OG
3NTXU|Fungi	377	506.55313879942844	A	Required for 40S ribosome biogenesis. Involved in nucleolar processing of pre-18S ribosomal RNA and ribosome assembly	MHS530	fungi_OG
3NTXV|Fungi	618	526.8043725102241	O	Glycosyltransferase family 33 protein	MHS530	fungi_OG
3NTXX|Fungi	800	605.0703347756424	I	cdp-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase	MHS530	fungi_OG
3NTXY|Fungi	323	558.1083285478401	E	nitrilase	MHS530	fungi_OG
3NTXZ|Fungi	665	722.6655888079316	KL	Transcription factor	MHS530	fungi_OG
3NTY0|Fungi	408	416.61625013523746	S	Essential component of the cytosolic iron-sulfur (Fe S) protein assembly machinery. Required for the maturation of extramitochondrial Fe S proteins	MHS530	fungi_OG
3NTY1|Fungi	1	3.3333333333333335	K	Transcription factor	MHS530	fungi_OG
3NTY2|Fungi	743	704.5148452820617	C	Fumarate hydratase	MHS530	fungi_OG
3NTY3|Fungi	525	802.1284518845137	H	Catalyzes the methyl transfer from S-adenosyl-methionine to the C-24 of zymosterol to form fecosterol	MHS530	fungi_OG
3NTY4|Fungi	1233	904.8128008649632	J	YdiU domain protein	MHS530	fungi_OG
3NTY5|Fungi	23	37.20550758926732	T	cmgc cdk protein kinase	MHS530	fungi_OG
3NTY6|Fungi	1143	996.1535736741744	S	Transcription factor	MHS530	fungi_OG
3NTY7|Fungi	718	691.0467774772751	J	phenylalanyl-tRNA synthetase alpha chain	MHS530	fungi_OG
3NTY8|Fungi	461	611.8579055243471	O	pre-rRNA-processing protein PNO1	MHS530	fungi_OG
3NTY9|Fungi	675	850.4392256746492	L	DNA-dependent ATPase and 5'-3' DNA helicase required for the maintenance of both mitochondrial and nuclear genome stability. Efficiently unwinds G-quadruplex (G4) DNA structures and forked RNA-DNA hybrids. Resolves G4 structures, preventing replication pausing and double-strand breaks (DSBs) at G4 motifs. Involved in the maintenance of telomeric DNA. Inhibits telomere elongation, de novo telomere formation and telomere addition to DSBs via catalytic inhibition of telomerase. Reduces the processivity of telomerase by displacing active telomerase from DNA ends. Releases telomerase by unwinding the short telomerase RNA telomeric DNA hybrid that is the intermediate in the telomerase reaction. Involved in the maintenance of ribosomal (rDNA). Required for efficient fork arrest at the replicaion fork barrier within rDNA. Involved in the maintenance of mitochondrial (mtDNA). Required to maintain mtDNA under conditions that introduce dsDNA breaks in mtDNA, either preventing or repairing dsDNA breaks. May inhibit replication progression to allow time for repair. May have a general role in chromosomal replication by affecting Okazaki fragment maturation. May have a role in conjunction with DNA2 helicase nuclease in 5'-flap extension during Okazaki fragment processing	MHS530	fungi_OG
3NTYA|Fungi	809	837.0522732982528	T	cmgc dyrk yak protein kinase	MHS530	fungi_OG
3NTYB|Fungi	2	11.695906432748536	S	amino acid	MHS530	fungi_OG
3NTYD|Fungi	524	759.446497104845	C	Belongs to the mitochondrial carrier (TC 2.A.29) family	MHS530	fungi_OG
3NTYE|Fungi	757	647.3064205083879	S	NA	MHS530	fungi_OG
3NTYF|Fungi	4	7.49063670411985	G	hydrolase family 81	MHS530	fungi_OG
3NTYG|Fungi	97	71.71566790895167	S	Zz type zinc finger	MHS530	fungi_OG
3NTYH|Fungi	1884	1321.5993484276237	BD	Structural maintenance of chromosomes protein	MHS530	fungi_OG
3NTYI|Fungi	620	577.0879155236452	H	Lipoate-protein ligase	MHS530	fungi_OG
3NTYJ|Fungi	1414	1215.7093328375822	G	Belongs to the PI3 PI4-kinase family	MHS530	fungi_OG
3NTYK|Fungi	3700	2264.1111541234395	M	Chitin Synthase	MHS530	fungi_OG
3NTYM|Fungi	546	600.8909690775887	I	carbamoylphosphate synthase	MHS530	fungi_OG
3NTYN|Fungi	687	923.1650350382532	C	Belongs to the mitochondrial carrier (TC 2.A.29) family	MHS530	fungi_OG
3NTYP|Fungi	562	710.2491207405066	IJT	acetamidase	MHS530	fungi_OG
3NTYR|Fungi	1058	818.0016200010382	L	DNA repair helicase	MHS530	fungi_OG
3NTYS|Fungi	734	711.8468460933535	C	Belongs to the cytochrome b5 family	MHS530	fungi_OG
3NTYU|Fungi	1274	825.2249109220277	U	Signal transduction protein	MHS530	fungi_OG
3NTYV|Fungi	4	10.840108401084011	M	Insecticide toxin TcdB middle/N-terminal region	MHS530	fungi_OG
3NTYW|Fungi	854	1218.6569666206763	P	transporter	MHS530	fungi_OG
3NTYX|Fungi	695	1072.1222190863343	E	Xaa-pro dipeptidase	MHS530	fungi_OG
3NTYZ|Fungi	1603	936.4720900180304	O	IQ and HECT domain protein	MHS530	fungi_OG
3NTZ0|Fungi	195	397.4706120447272	J	Belongs to the eukaryotic ribosomal protein eS7 family	MHS530	fungi_OG
