pangene	length	percent_cov	unpaired_read_count
Achromobacter_xylosoxidans_cluster_10164_CUJ71265.1	1428	62.2549	18
Achromobacter_xylosoxidans_cluster_16336_QKI79606.1	222	58.5586	3
Achromobacter_xylosoxidans_cluster_17637_CUK23678.1	426	60.7981	7
Achromobacter_xylosoxidans_cluster_17852_CUJ54201.1	546	52.0147	13
Achromobacter_xylosoxidans_cluster_5635_CUJ50218.1	501	59.8802	7
Achromobacter_xylosoxidans_cluster_6180_KOQ31208.1	780	54.1026	11
Achromobacter_xylosoxidans_cluster_6317_CUJ74167.1	270	55.5556	1
Achromobacter_xylosoxidans_cluster_7007_CUJ59675.1	243	61.7284	1
C_tuberculostearicum|CP065972.1_cds_QQA98187.1_1157	399	69.1729	15
C_tuberculostearicum|CP065972.1_cds_QQA98200.1_1171	813	55.5966	12
C_tuberculostearicum|CP065972.1_cds_QQA98201.1_1172	834	73.6211	54
C_tuberculostearicum|CP065972.1_cds_QQA98210.1_1182	345	87.2464	12
C_tuberculostearicum|CP065972.1_cds_QQA98225.1_1202	516	68.9922	12
C_tuberculostearicum|CP065972.1_cds_QQA98231.1_1208	291	51.5464	1
C_tuberculostearicum|CP065972.1_cds_QQA98294.1_1277	1176	62.8401	31
C_tuberculostearicum|CP065972.1_cds_QQA98325.1_1311	1623	50.7086	19
C_tuberculostearicum|CP065972.1_cds_QQA98327.1_1313	888	59.1216	9
C_tuberculostearicum|CP065972.1_cds_QQA98328.1_1314	585	77.9487	34
C_tuberculostearicum|CP065972.1_cds_QQA98330.1_1316	1074	81.5642	18
C_tuberculostearicum|CP065972.1_cds_QQA98332.1_1318	345	65.7971	10
C_tuberculostearicum|CP065972.1_cds_QQA98343.1_1329	393	55.2163	3
C_tuberculostearicum|CP065972.1_cds_QQA98431.1_1426	282	94.3262	8
C_tuberculostearicum|CP065972.1_cds_QQA98440.1_1435	1380	68.2609	20
C_tuberculostearicum|CP065972.1_cds_QQA98442.1_1437	420	62.1429	6
C_tuberculostearicum|CP065972.1_cds_QQA98491.1_1486	264	81.0606	6
C_tuberculostearicum|CP065972.1_cds_QQA98513.1_1509	279	98.5663	25
C_tuberculostearicum|CP065972.1_cds_QQA98514.1_1510	306	95.7516	41
C_tuberculostearicum|CP065972.1_cds_QQA98527.1_1524	255	99.2157	2
C_tuberculostearicum|CP065972.1_cds_QQA98531.1_1529	600	69.3333	7
C_tuberculostearicum|CP065972.1_cds_QQA98537.1_1536	1359	70.1251	56
C_tuberculostearicum|CP065972.1_cds_QQA98560.1_1559	1671	55.5955	21
C_tuberculostearicum|CP065972.1_cds_QQA98583.1_1582	252	82.5397	14
C_tuberculostearicum|CP065972.1_cds_QQA98584.1_1583	2088	50.3352	28
C_tuberculostearicum|CP065972.1_cds_QQA98588.1_1588	609	53.8588	8
C_tuberculostearicum|CP065972.1_cds_QQA98589.1_1589	729	56.6529	20
C_tuberculostearicum|CP065972.1_cds_QQA98599.1_1600	1695	76.5192	54
C_tuberculostearicum|CP065972.1_cds_QQA98600.1_1601	990	71.7172	23
C_tuberculostearicum|CP065972.1_cds_QQA98638.1_1642	198	75.7576	3
C_tuberculostearicum|CP065972.1_cds_QQA98663.1_1668	705	61.2766	9
C_tuberculostearicum|CP065972.1_cds_QQA98717.1_1722	474	60.5485	11
C_tuberculostearicum|CP065972.1_cds_QQA98726.1_1731	1647	76.8670	147
C_tuberculostearicum|CP065972.1_cds_QQA98733.1_1738	276	54.3478	1
C_tuberculostearicum|CP065972.1_cds_QQA98761.1_1768	1035	66.9565	9
C_tuberculostearicum|CP065972.1_cds_QQA98776.1_1784	1851	88.3306	88
C_tuberculostearicum|CP065972.1_cds_QQA98777.1_1785	177	87.5706	15
C_tuberculostearicum|CP065972.1_cds_QQA98827.1_1843	1947	60.0924	24
C_tuberculostearicum|CP065972.1_cds_QQA98864.1_1883	603	71.9735	71
C_tuberculostearicum|CP065972.1_cds_QQA98891.1_1912	453	84.9890	8
C_tuberculostearicum|CP065972.1_cds_QQA98892.1_1913	549	74.3169	39
C_tuberculostearicum|CP065972.1_cds_QQA98893.1_1914	291	89.6907	21
C_tuberculostearicum|CP065972.1_cds_QQA98987.1_2019	531	55.7439	10
C_tuberculostearicum|CP065972.1_cds_QQA99014.1_2051	2235	64.3400	59
C_tuberculostearicum|CP065972.1_cds_QQA99024.1_2062	981	57.4924	10
C_tuberculostearicum|CP065972.1_cds_QQA99025.1_2063	273	54.9451	1
C_tuberculostearicum|CP065972.1_cds_QQA99162.1_2215	1086	52.3020	5
C_tuberculostearicum|CP065972.1_cds_QQA99171.1_5	1413	60.8634	17
C_tuberculostearicum|CP065972.1_cds_QQA99183.1_18	492	66.2602	10
C_tuberculostearicum|CP065972.1_cds_QQA99225.1_63	687	58.2242	6
C_tuberculostearicum|CP065972.1_cds_QQA99226.1_64	1167	62.2108	13
C_tuberculostearicum|CP065972.1_cds_QQA99253.1_92	705	71.2057	14
C_tuberculostearicum|CP065972.1_cds_QQA99258.1_97	522	99.6169	109
C_tuberculostearicum|CP065972.1_cds_QQA99259.1_98	390	99.4872	47
C_tuberculostearicum|CP065972.1_cds_QQA99263.1_102	3495	64.0629	130
C_tuberculostearicum|CP065972.1_cds_QQA99264.1_103	3996	71.4715	141
C_tuberculostearicum|CP065972.1_cds_QQA99268.1_108	372	95.1613	47
C_tuberculostearicum|CP065972.1_cds_QQA99269.1_109	468	98.0769	34
C_tuberculostearicum|CP065972.1_cds_QQA99270.1_110	2130	99.0610	192
C_tuberculostearicum|CP065972.1_cds_QQA99271.1_111	1191	99.9160	494
C_tuberculostearicum|CP065972.1_cds_QQA99277.1_117	348	82.4713	5
C_tuberculostearicum|CP065972.1_cds_QQA99279.1_119	306	100.0000	36
C_tuberculostearicum|CP065972.1_cds_QQA99280.1_120	657	99.6956	61
C_tuberculostearicum|CP065972.1_cds_QQA99281.1_121	654	95.5657	32
C_tuberculostearicum|CP065972.1_cds_QQA99282.1_122	303	95.7096	21
C_tuberculostearicum|CP065972.1_cds_QQA99283.1_123	837	99.4026	105
C_tuberculostearicum|CP065972.1_cds_QQA99284.1_124	279	95.6989	12
C_tuberculostearicum|CP065972.1_cds_QQA99285.1_125	363	94.7658	38
C_tuberculostearicum|CP065972.1_cds_QQA99286.1_126	744	97.4462	58
C_tuberculostearicum|CP065972.1_cds_QQA99287.1_127	417	95.4436	55
C_tuberculostearicum|CP065972.1_cds_QQA99288.1_128	231	100.0000	33
C_tuberculostearicum|CP065972.1_cds_QQA99289.1_129	309	83.8188	16
C_tuberculostearicum|CP065972.1_cds_QQA99299.1_140	369	75.8808	21
C_tuberculostearicum|CP065972.1_cds_QQA99300.1_141	315	100.0000	40
C_tuberculostearicum|CP065972.1_cds_QQA99301.1_142	552	97.8261	71
C_tuberculostearicum|CP065972.1_cds_QQA99305.1_147	384	99.7396	23
C_tuberculostearicum|CP065972.1_cds_QQA99306.1_148	537	90.8752	22
C_tuberculostearicum|CP065972.1_cds_QQA99307.1_149	402	100.0000	42
C_tuberculostearicum|CP065972.1_cds_QQA99308.1_150	624	93.7500	51
C_tuberculostearicum|CP065972.1_cds_QQA99309.1_151	186	87.6344	10
C_tuberculostearicum|CP065972.1_cds_QQA99310.1_152	447	87.4720	32
C_tuberculostearicum|CP065972.1_cds_QQA99318.1_160	264	75.7576	60
C_tuberculostearicum|CP065972.1_cds_QQA99319.1_161	369	82.6558	4
C_tuberculostearicum|CP065972.1_cds_QQA99320.1_162	405	98.0247	19
C_tuberculostearicum|CP065972.1_cds_QQA99321.1_163	606	84.8185	42
C_tuberculostearicum|CP065972.1_cds_QQA99322.1_164	1011	90.6034	53
C_tuberculostearicum|CP065972.1_cds_QQA99323.1_165	498	78.3133	5
C_tuberculostearicum|CP065972.1_cds_QQA99331.1_174	444	97.9730	19
C_tuberculostearicum|CP065972.1_cds_QQA99332.1_175	543	56.3536	22
C_tuberculostearicum|CP065972.1_cds_QQA99353.1_200	1617	82.6221	98
C_tuberculostearicum|CP065972.1_cds_QQA99391.1_241	192	78.1250	6
C_tuberculostearicum|CP065972.1_cds_QQA99426.1_278	579	65.8031	12
C_tuberculostearicum|CP065972.1_cds_QQA99479.1_339	1392	68.6782	39
C_tuberculostearicum|CP065972.1_cds_QQA99512.1_376	273	97.4359	10
C_tuberculostearicum|CP065972.1_cds_QQA99513.1_377	261	70.1149	19
C_tuberculostearicum|CP065972.1_cds_QQA99529.1_396	876	90.9817	36
C_tuberculostearicum|CP065972.1_cds_QQA99536.1_403	246	54.4715	4
C_tuberculostearicum|CP065972.1_cds_QQA99564.1_434	360	61.9444	10
C_tuberculostearicum|CP065972.1_cds_QQA99602.1_474	255	92.9412	8
C_tuberculostearicum|CP065972.1_cds_QQA99603.1_475	306	98.6928	42
C_tuberculostearicum|CP065972.1_cds_QQA99604.1_476	165	100.0000	32
C_tuberculostearicum|CP065972.1_cds_QQA99605.1_477	237	97.8903	6
C_tuberculostearicum|CP065972.1_cds_QQA99606.1_478	270	92.9630	16
C_tuberculostearicum|CP065972.1_cds_QQA99607.1_479	174	85.6322	10
C_tuberculostearicum|CP065972.1_cds_QQA99637.1_510	324	63.5802	4
C_tuberculostearicum|CP065972.1_cds_QQA99677.1_553	561	53.4759	6
C_tuberculostearicum|CP065972.1_cds_QQA99733.1_612	1089	58.6777	20
C_tuberculostearicum|CP065972.1_cds_QQA99758.1_641	849	53.5925	12
C_tuberculostearicum|CP065972.1_cds_QQA99809.1_700	801	87.0162	30
C_tuberculostearicum|CP065972.1_cds_QQA99810.1_701	240	55.0000	2
C_tuberculostearicum|CP065972.1_cds_QQA99811.1_702	570	83.3333	8
C_tuberculostearicum|CP065972.1_cds_QQA99812.1_703	816	58.3333	26
C_tuberculostearicum|CP065972.1_cds_QQA99813.1_704	1641	97.0750	101
C_tuberculostearicum|CP065972.1_cds_QQA99815.1_706	1446	92.8077	114
C_tuberculostearicum|CP065972.1_cds_QQA99816.1_707	369	75.3388	42
C_tuberculostearicum|CP065972.1_cds_QQA99821.1_712	393	51.1450	10
C_tuberculostearicum|CP065972.1_cds_QQA99842.1_733	297	75.7576	2
C_tuberculostearicum|CP065972.1_cds_QQA99903.1_801	1461	95.4141	162
C_tuberculostearicum|CP065972.1_cds_QQA99909.1_807	441	67.3469	12
C_tuberculostearicum|CP065972.1_cds_QQA99916.1_815	195	76.9231	3
C_tuberculostearicum|CP065972.1_cds_QQA99917.1_816	384	79.1667	22
C_tuberculostearicum|CP065972.1_cds_QQA99934.1_833	264	96.5909	281
C_tuberculostearicum|CP065972.1_cds_QQA99956.1_859	174	72.9885	1
C_tuberculostearicum|CP065972.1_cds_QQA99986.1_893	384	73.6979	2
C_tuberculostearicum|CP065972.1_cds_QQB00051.1_963	234	66.6667	6
C_tuberculostearicum|CP065972.1_cds_QQB00054.1_966	1008	53.6706	12
C_tuberculostearicum|CP065972.1_cds_QQB00072.1_985	570	77.1930	27
C_tuberculostearicum|CP065972.1_cds_QQB00085.1_1000	564	56.7376	3
C_tuberculostearicum|CP065972.1_cds_QQB00149.1_1068	252	70.6349	7
C_tuberculostearicum|CP065972.1_cds_QQB00163.1_1082	594	98.9899	102
C_tuberculostearicum|CP065972.1_cds_QQB00202.1_1126	270	98.1481	31
C_tuberculostearicum|CP065972.1_cds_QQB00225.1_345	249	88.3534	3
C_tuberculostearicum|CP065972.1_cds_QQB00227.1_369	477	62.2642	7
C_tuberculostearicum|CP065972.1_cds_QQB00257.1_814	522	89.6552	29
C_tuberculostearicum|CP065972.1_cds_QQB00265.1_950	1407	65.6006	29
C_tuberculostearicum|CP065972.1_cds_QQB00268.1_986	321	97.5078	19
C_tuberculostearicum|CP065972.1_cds_QQB00298.1_1595	300	50.0000	1
C_tuberculostearicum|CP068156.1_cds_QQU80775.1_1108	8052	68.0079	108
C_tuberculostearicum|CP068156.1_cds_QQU81092.1_1448	198	75.7576	5
C_tuberculostearicum|CP068156.1_cds_QQU81398.1_1794	654	77.5229	17
C_tuberculostearicum|CP068156.1_cds_QQU81523.1_1923	204	67.1569	1
C_tuberculostearicum|CP068156.1_cds_QQU81965.1_145	396	53.7879	8
C_tuberculostearicum|CP068156.1_cds_QQU82115.1_306	2046	65.7869	42
C_tuberculostearicum|CP068156.1_cds_QQU82466.1_684	2769	54.5684	98
C_tuberculostearicum|CP068156.1_cds_QQU82505.1_723	147	60.5442	2
C_tuberculostearicum|CP068156.1_cds_QQU82542.1_770	1368	58.8450	23
C_tuberculostearicum|CP068156.1_cds_QQU82648.1_887	1140	64.2105	17
C_tuberculostearicum|CP068156.1_cds_QQU82893.1_886	714	86.1345	26
C_ureicelerivorans|CP009215.1_cds_AIL96002.1_77	216	88.8889	2
C_ureicelerivorans|CP009215.1_cds_AIL96011.1_86	354	83.3333	12
C_ureicelerivorans|CP009215.1_cds_AIL96050.1_125	204	89.7059	12
C_ureicelerivorans|CP009215.1_cds_AIL96068.1_143	1413	55.2017	23
C_ureicelerivorans|CP009215.1_cds_AIL96155.1_231	429	92.3077	11
C_ureicelerivorans|CP009215.1_cds_AIL96157.1_233	522	96.3602	30
C_ureicelerivorans|CP009215.1_cds_AIL96158.1_234	390	94.6154	59
C_ureicelerivorans|CP009215.1_cds_AIL96160.1_236	3480	53.7069	73
C_ureicelerivorans|CP009215.1_cds_AIL96161.1_237	4014	65.0722	112
