feature	baseMean	log2FoldChange	lfcSE	pvalue	padj	bacteria_eggnog_cat	bacteria_eggnog_desc
2Z9JM	40.44329899251583	0.37881199685476774	0.5179047578801695	0.19636922797169634	0.49398264713559875	S	NAD-specific glutamate dehydrogenase
2ZAV8	402.2648769289828	0.5022915038473912	0.5904063878077352	0.10730923477289121	0.3553424247285366	S	EcsC protein family
2ZBU7	616.5563278962893	-0.16418352292891272	0.5386348263870567	0.54557004129554	0.7983101054990093	S	Protein of unknown function (DUF3027)
2ZC43	1043.7247941692794	-2.229224873264604	1.12244955270406	6.238817524612502e-4	0.01130626522827735	S	NA
2ZJ01	982.3539392123571	-0.3194100539087679	0.5042976914008843	0.2659724185575227	0.5875211633807964	S	NA
2ZVJF	357.2357083282666	-0.23532489504292844	0.5414904174110108	0.3984196653078733	0.7181248849702419	S	NA
30D1S	278.8999165521909	-4.516845678005423	1.026736345602715	5.372398871468963e-7	7.951150329774066e-5	S	NA
30DSN	81.84830214483885	2.1816171774156032	1.1092522250512562	6.609710536104382e-4	0.0115358653926068	S	NA
31XWG	258.6985564140891	-0.454608488284432	0.6389826513563386	0.14205737409517397	0.41770512647852476	S	NA
32RKK	270.7509629719324	0.03155291572901779	0.4628570749903124	0.9076700724159775	0.9729900237583847	S	pathogenesis
32RSG	245.00977584109236	0.8750183439287446	0.7712172583497757	0.021752618681885705	0.1497389565078644	K	Transcription factor WhiB
32RUK	252.0659515229516	2.6860653948539426	1.0007856779757414	1.057456617521384e-4	0.002835124134932097	K	Acts as a transcriptional regulator. Probably redox- responsive. The apo- but not holo-form probably binds DNA
32S2G	1012.2138738265521	-3.174793772324211	1.0650779786123137	5.344234414261062e-5	0.0018982720639455295	S	NA
32SI2	161.7329284957466	0.8124874841785817	0.71679582564143	0.02593689443545908	0.1645140161334833	K	Binds to RNA polymerase (RNAP), stimulating transcription from principal, but not alternative sigma factor promoters
32TTI	317.3410533649287	0.6323931829762869	0.6298428850251977	0.056242887633532836	0.25407023738210627	C	oxidoreductase activity, acting on a heme group of donors, oxygen as acceptor
32Y97	95.81047074622705	0.23988314955406584	0.5167457140643059	0.3912666483957222	0.7177556275657646	S	Protein of unknown function (DUF3117)
32Y9G	149.0954510582862	-0.17324323228246818	0.4589045603681962	0.5314785568391529	0.7905409689667802	S	NA
330JD	169.38593133579838	0.4895817627211878	0.6131052127418726	0.1170533220161342	0.373896942267364	S	NA
33360	88.99578740204171	0.19765989562458047	0.506111269088217	0.47464939979263654	0.7747953437791567	S	NA
337QR	62.05117381701178	-0.2126618923907425	0.5255264983534664	0.44252115779358386	0.7499787845775546	S	NA
33AI2	241.94059149604445	0.13418397559095385	0.4446619612466809	0.626337030102206	0.8563871484915491	S	Protein of unknown function (DUF3073)
33CRW	685.1062728844045	-4.122813040970088	1.17537300614287	1.0268425026520056e-5	6.513115302535579e-4	S	NA
33D21	88.95543297666718	-0.48325001826189984	0.5375088234772388	0.11278346437679794	0.3655172130167758	S	MT0933-like antitoxin protein
33DPX	130.47777436437858	0.21114369469307231	0.5316484853363002	0.4451194683653191	0.750083282453148	S	NA
33FQ1	60.35421240165244	0.3916453131919396	0.5885305763783762	0.18907651106399198	0.4875996120509488	S	NA
33FSC	652.40665194729	0.3436070052040028	0.549847931901428	0.23747290078208252	0.5482881072362091	S	NA
33MCB	4360.999833753624	-0.05491964493977942	0.4510801002384108	0.8407239767690236	0.9593240762732527	S	NA
33RZ2	850.0437366983034	3.3967267206081355	0.966062508459733	1.4001049864052471e-5	8.288621519519063e-4	S	NA
33XPV	409.48008760460385	3.5393509683259503	0.9280017496285891	6.102960938864014e-6	4.16879177977788e-4	S	NA
COG0001	1635.8439768802039	-0.22890977048107353	0.4539860108423065	0.41316418275197164	0.730666574839277	H	glutamate-1-semialdehyde 2,1-aminomutase activity
COG0006	2061.4741201842944	0.12923823589903308	0.4418479733955155	0.6389772591890513	0.8584142301964865	E	proline dipeptidase activity
COG0007	810.4505852151906	0.0540907542965295	0.4533387204298978	0.8430064870921586	0.9593240762732527	H	Multifunctional enzyme that catalyzes the SAM-dependent methylations of uroporphyrinogen III at position C-2 and C-7 to form precorrin-2 via precorrin-1. Then it catalyzes the NAD- dependent ring dehydrogenation of precorrin-2 to yield sirohydrochlorin. Finally, it catalyzes the ferrochelation of sirohydrochlorin to yield siroheme
COG0008	3426.2376109245474	-0.28529343616534436	0.4614753547119595	0.313722402672228	0.6419020589238214	J	Catalyzes the attachment of glutamate to tRNA(Glu) in a two-step reaction glutamate is first activated by ATP to form Glu-AMP and then transferred to the acceptor end of tRNA(Glu)
COG0009	1280.7719835893845	-0.08284666552251277	0.4407068016024001	0.7626234575901318	0.9250712678296796	J	L-threonylcarbamoyladenylate synthase
COG0011	275.06717914207263	-0.46764710847636826	0.5110729314859368	0.11974265380197108	0.3782430645170633	H	TIGRFAM Protein of
COG0012	1079.2655418027227	0.09263018047786983	0.47500755118746646	0.7338303386722216	0.91394297439121	J	GTP binding
COG0013	2765.0036482955193	0.04071631203550041	0.4304643378378435	0.8818305961242449	0.9729900237583847	J	Catalyzes the attachment of alanine to tRNA(Ala) in a two-step reaction alanine is first activated by ATP to form Ala- AMP and then transferred to the acceptor end of tRNA(Ala). Also edits incorrectly charged Ser-tRNA(Ala) and Gly-tRNA(Ala) via its editing domain
COG0015	1714.7138794851903	-0.3435049981126913	0.5524622670835577	0.23771500144813124	0.5482881072362091	F	Belongs to the lyase 1 family. Adenylosuccinate lyase subfamily
COG0016	1112.2842710688003	0.5747700050898971	0.4855304493750252	0.059198644826253956	0.2605472851128076	J	Belongs to the class-II aminoacyl-tRNA synthetase family. Phe-tRNA synthetase alpha subunit type 1 subfamily
COG0018	1929.7653344922346	0.1846306970374886	0.4692761376230519	0.5053052508804665	0.7821193005339546	J	arginyl-trna synthetase
COG0019	1495.11141369492	0.13040882371283727	0.46841727047243453	0.6346550480445479	0.8563871484915491	E	diaminopimelate decarboxylase activity
COG0020	1653.6502070913793	0.1614078759016911	0.48155413591132545	0.5576023762792032	0.8113952528161914	H	Catalyzes the condensation of isopentenyl diphosphate (IPP) with allylic pyrophosphates generating different type of terpenoids
COG0021	2269.7844660134297	0.2919799565831379	0.44843663168131037	0.302018584499048	0.6310411836121285	G	Catalyzes the transfer of a two-carbon ketol group from a ketose donor to an aldose acceptor, via a covalent intermediate with the cofactor thiamine pyrophosphate
COG0022	1008.4222960452378	0.05951134079603214	0.420098539603628	0.8281039983855932	0.9593240762732527	C	dehydrogenase e1 component
COG0024	1816.601223770649	0.19233480358629418	0.49693693030651714	0.4866772701670126	0.7775806905865839	E	Methionine aminopeptidase
