"Virus name"; "Genome length"; "Genome type"; "Genome segments"; "Taxonomy ID"; "RefSeq ID"; "Updated"
Salmonella phage SPN19, complete genome;59203;circular DNA;1;2923009;NC_019417;2023-01-11
Salmonella phage Chi, complete genome;59407;linear DNA;1;2927983;NC_021315;2023-01-11
Salmonella phage FSL SP-030, complete genome;59746;linear DNA;1;2928682;NC_021779;2023-01-11
Salmonella phage FSL SP-088, complete genome;59454;linear DNA;1;2928680;NC_021780;2023-01-11
Salmonella phage iEPS5, complete genome;59254;linear DNA;1;2991860;NC_021783;2023-01-11
Chivirus chi, complete genome;59578;linear DNA;1;1541887;NC_025442;2023-01-08
Salmonella phage 37, complete genome;60216;linear DNA;1;1654890;NC_029045;2023-01-08
Salmonella phage BP12C, complete genome;60606;linear DNA;1;1543203;NC_031228;2023-01-08
Salmonella phage 118970_sal1, complete genome;59518;linear DNA;1;1813781;NC_031930;2023-01-09
Salmonella phage 35, complete genome;55391;linear DNA;1;1654888;NC_048632;2023-01-08
Salmonella phage ST-101, complete genome;59132;linear DNA;1;1897739;NC_048648;2023-01-09
Salmonella phage BSPM4, complete genome;59097;linear DNA;1;1958913;NC_048655;2023-01-09
Salmonella phage YSD1, complete genome;58916;circular DNA;1;2749261;NC_048666;2023-01-11
Salmonella phage KFS-SE1, complete genome;59715;circular DNA;1;2048975;NC_048683;2023-01-10
Salmonella phage Siskin, complete genome;58476;linear DNA;1;2316013;NC_048727;2023-01-10
Serratia phage KpYy 1 41, complete genome;54417;linear DNA;1;2698927;NC_052991;2023-01-11
Salmonella phage vB_SenS_ER24, complete genome;60438;linear DNA;1;2801569;NC_052999;2023-01-11
Salmonella phage SeWh-1, complete genome;59878;linear DNA;1;2419754;NC_053000;2023-01-10
