pangene	baseMean	log2FoldChange	lfcSE	pvalue	padj	Pangenome Class	COG	Description	Enzyme Class	KEGG Orthology	KEGG Pathway	KEGG Reaction	Resistance Product	Resistance	Metabolism
cluster_1	862.6277887920668	0.959874754521003	0.3086282046925572	0.001003952891152999	0.0034149527836851204	core	I	Mevalonate kinase	Hydroxymethylglutaryl-CoA reductase[1.1.1.88]; Hydroxymethylglutaryl-CoA synthase[2.3.3.10]; Mevalonate kinase[2.7.1.36]	hydroxymethylglutaryl-CoA reductase[K00054]; mevalonate kinase[K00869]; hydroxymethylglutaryl-CoA synthase[K01641]	Valine, leucine and isoleucine degradation[map00280]; Butanoate metabolism[map00650]; Terpenoid backbone biosynthesis[map00900]; Metabolic pathways[map01100]; Biosynthesis of secondary metabolites[map01110]; Peroxisome[map04146]	(S)-3-Hydroxy-3-methylglutaryl-CoA + CoA <=> Acetyl-CoA + H2O + Acetoacetyl-CoA[R01978]; (R)-Mevalonate + CoA + 2 NAD+ <=> (S)-3-Hydroxy-3-methylglutaryl-CoA + 2 NADH + 2 H+[R02081]; ATP + (R)-Mevalonate <=> ADP + (R)-5-Phosphomevalonate[R02245]	-	-	-
cluster_10	452.26509820152086	0.3624113021806258	0.17272149009887083	0.028852383928656775	0.06331495362121904	core	P	Na( ) H( ) antiporter subunit	NADH:ubiquinone reductase (H(+)-translocating)[1.6.5.3]	NADH-quinone oxidoreductase subunit K[K00340]; multicomponent K+:H+ antiporter subunit C[K05560]; multicomponent Na+:H+ antiporter subunit C[K05567]	Oxidative phosphorylation[map00190]; Metabolic pathways[map01100]	Ubiquinone + NADH + 6 H+ <=> Ubiquinol + NAD+ + 5 H+[R11945]	-	-	-
cluster_100	700.2106874644754	-0.2801661296411516	0.15957623564214735	0.06717704959335208	0.1288885711687872	core	M	transferase	UDP-N-acetylglucosamine--undecaprenyl-phosphate N-acetylglucosaminephosphotransferase[2.7.8.33]; UDP-N-acetylglucosamine--decaprenyl-phosphate N-acetylglucosaminephosphotransferase[2.7.8.35]	UDP-GlcNAc:undecaprenyl-phosphate/decaprenyl-phosphate GlcNAc-1-phosphate transferase[K02851]	-	UDP-N-acetyl-alpha-D-glucosamine + di-trans,poly-cis-Undecaprenyl phosphate <=> N-Acetyl-D-glucosaminyldiphosphoundecaprenol + UMP[R08856]	-	-	-
cluster_1000	59.302480068577886	-1.966998123169072	0.6870108143276168	2.944540741667991e-4	0.0011527320141444134	dispensable	EH	COG0115 Branched-chain amino acid aminotransferase 4-amino-4-deoxychorismate lyase	Branched-chain-amino-acid transaminase[2.6.1.42]; Aminodeoxychorismate lyase[4.1.3.38]	branched-chain amino acid aminotransferase[K00826]; 4-amino-4-deoxychorismate lyase[K02619]	Cysteine and methionine metabolism[map00270]; Valine, leucine and isoleucine degradation[map00280]; Valine, leucine and isoleucine biosynthesis[map00290]; Pantothenate and CoA biosynthesis[map00770]; Folate biosynthesis[map00790]; Metabolic pathways[map01100]; Biosynthesis of secondary metabolites[map01110]; 2-Oxocarboxylic acid metabolism[map01210]; Biosynthesis of amino acids[map01230]	L-Leucine + 2-Oxoglutarate <=> 4-Methyl-2-oxopentanoate + L-Glutamate[R01090]; L-Valine + 2-Oxoglutarate <=> 3-Methyl-2-oxobutanoic acid + L-Glutamate[R01214]; L-Isoleucine + 2-Oxoglutarate <=> (S)-3-Methyl-2-oxopentanoic acid + L-Glutamate[R02199]; 4-Amino-4-deoxychorismate <=> 4-Aminobenzoate + Pyruvate[R05553]; (S)-2-Aminobutanoate + 2-Oxoglutarate <=> 2-Oxobutanoate + L-Glutamate[R10991]	-	-	-
cluster_1001	553.4784149088226	-1.1222967250047091	0.2655328621025272	1.0889687302853963e-5	5.725692492016393e-5	dispensable	T	Member of the two-component regulatory system GraR GraS involved in resistance against cationic antimicrobial peptides (CAMPs). GraS probably functions as a sensor protein kinase which is autophosphorylated at a histidine residue and transfers its phosphate group to GraR	Histidine kinase[2.7.13.3]	two-component system, OmpR family, bacitracin resistance sensor histidine kinase BceS[K11629]; two-component system, OmpR family, sensor histidine kinase GraS[K19077]	Cationic antimicrobial peptide (CAMP) resistance[map01503]; Two-component system[map02020]	-	-	-	-
cluster_10018	44.53545564197234	-0.15367000736839112	0.5010856614039361	0.7195839420857566	0.8023589474209566	dispensable	-	-	-	-	-	-	-	-	-
cluster_1002	241.175709792518	-0.08277131097708983	0.28416527189865587	0.7547392857649433	0.8295569193103377	dispensable	J	Pseudouridine synthase	23S rRNA pseudouridine(1911/1915/1917) synthase[5.4.99.23]; tRNA pseudouridine(32) synthase[5.4.99.28]; 23S rRNA pseudouridine(746) synthase[5.4.99.29]	tRNA pseudouridine32 synthase / 23S rRNA pseudouridine746 synthase[K06177]; 23S rRNA pseudouridine1911/1915/1917 synthase[K06180]	-	-	-	-	-
cluster_10021	100.20313985481931	0.25133549189011894	0.5749488809556604	0.5929553355442573	0.7007250786536474	dispensable	Q	Methyltransferase	-	-	-	-	-	-	-
cluster_10025	294.28866941938503	-1.1754962815430452	1.0006147570631905	0.06271724379424086	0.12226186945700254	dispensable	D	acetyltransferases and hydrolases with the alpha beta hydrolase fold	Triacylglycerol lipase[3.1.1.3]	triacylglycerol lipase[K01046]	Glycerolipid metabolism[map00561]; Metabolic pathways[map01100]	Triacylglycerol + H2O <=> 1,2-Diacyl-sn-glycerol + Fatty acid[R02250]; 1,2-Diacyl-sn-glycerol + H2O <=> 1-Acylglycerol + Fatty acid[R02687]	-	-	-
cluster_1003	506.14448138922955	1.2803103810070253	0.2178586433839667	1.533900545310415e-9	1.5053185475717114e-8	dispensable	I	Carboxylesterase family	-	-	-	-	-	-	-
