uniref90_ID	percent_cov	AA_length	unpaired_read_count	uniref90_desc	emapper_max_annot_OG	emapper_OG	emapper_max_annot_lvl	eggnog_cat	eggnog_GO	eggnog_desc	uniref90_GO
UniRef90_A0A015W411	83.3333	54	1	UniRef90_A0A015W411 Uncharacterized protein n=1 Tax=Bacteroides fragilis str. 3988T(B)14 TaxID=1339315 RepID=A0A015W411_BACFG	-	-	-	-	-	-	-
UniRef90_A0A015Y4Y1	81.8182	55	2	UniRef90_A0A015Y4Y1 Uncharacterized protein n=2 Tax=Bacteroides fragilis TaxID=817 RepID=A0A015Y4Y1_BACFG	-	-	-	-	-	-	GO:0016021
UniRef90_A0A017N5Z8	97.9167	48	1	UniRef90_A0A017N5Z8 Uncharacterized protein n=1 Tax=Bacteroides fragilis str. S23L17 TaxID=1339329 RepID=A0A017N5Z8_BACFG	-	-	-	-	-	-	-
UniRef90_A0A017N6V1	59.4306	281	12	UniRef90_A0A017N6V1 Uncharacterized protein n=3 Tax=Bacteroides fragilis TaxID=817 RepID=A0A017N6V1_BACFG	-	-	-	-	-	-	-
UniRef90_A0A031GBR6	51.087	92	3	UniRef90_A0A031GBR6 DUF4235 domain-containing protein n=23 Tax=Micrococcaceae TaxID=1268 RepID=A0A031GBR6_MICLU	2I8AR	2EGCW@1|root,33A4P@2|Bacteria,2I8AR@201174|Actinobacteria,1WCPI@1268|Micrococcaceae	201174|Actinobacteria	S	-	Protein of unknown function (DUF4235)	GO:0016021
UniRef90_A0A031GFB2	60.2151	93	1	UniRef90_A0A031GFB2 DNA-binding protein HB1 n=30 Tax=Bacteria TaxID=2 RepID=A0A031GFB2_MICLU	2IKQR	COG0776@1|root,COG0776@2|Bacteria,2IKQR@201174|Actinobacteria,1W9F5@1268|Micrococcaceae	201174|Actinobacteria	L	GO:0003674,GO:0003676,GO:0003677,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006323,GO:0006996,GO:0008150,GO:0009889,GO:0009987,GO:0010556,GO:0016043,GO:0019219,GO:0019222,GO:0030261,GO:0031323,GO:0031326,GO:0044424,GO:0044444,GO:0044464,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0051276,GO:0060255,GO:0065007,GO:0071103,GO:0071840,GO:0080090,GO:0097159,GO:1901363,GO:1903506,GO:2001141	Histone-like DNA-binding protein which is capable of wrapping DNA to stabilize it, and thus to prevent its denaturation under extreme environmental conditions	GO:0003677
UniRef90_A0A031HBU1	54.7619	84	1	UniRef90_A0A031HBU1 Uncharacterized protein n=40 Tax=Terrabacteria group TaxID=1783272 RepID=A0A031HBU1_MICLU	-	-	-	-	-	-	GO:0016021
UniRef90_A0A031I4N4	58.5366	82	1	UniRef90_A0A031I4N4 Transcriptional regulator WhiB n=19 Tax=Bacteria TaxID=2 RepID=A0A031I4N4_MICLU	2IQCG	2DMIE@1|root,32RSG@2|Bacteria,2IQCG@201174|Actinobacteria,1W9IF@1268|Micrococcaceae	201174|Actinobacteria	K	GO:0000302,GO:0003674,GO:0003676,GO:0003677,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006351,GO:0006355,GO:0006725,GO:0006807,GO:0006950,GO:0006979,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009889,GO:0009890,GO:0009892,GO:0009987,GO:0010035,GO:0010467,GO:0010468,GO:0010556,GO:0010558,GO:0010605,GO:0010629,GO:0015035,GO:0015036,GO:0016070,GO:0016491,GO:0016651,GO:0016667,GO:0016668,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0032774,GO:0034641,GO:0034645,GO:0034654,GO:0042221,GO:0042493,GO:0043167,GO:0043169,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044464,GO:0045892,GO:0045934,GO:0046483,GO:0046872,GO:0047134,GO:0048037,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051172,GO:0051252,GO:0051253,GO:0051536,GO:0051539,GO:0051540,GO:0055114,GO:0060255,GO:0065007,GO:0071704,GO:0071731,GO:0080090,GO:0090304,GO:0097159,GO:0097366,GO:0097659,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1901698,GO:1901700,GO:1902679,GO:1903506,GO:1903507,GO:2000112,GO:2000113,GO:2001141	Acts as a transcriptional regulator. Probably redox- responsive. The apo- but not holo-form probably binds DNA	-
UniRef90_A0A031ISQ8	53.8462	91	1	UniRef90_A0A031ISQ8 DUF1540 domain-containing protein n=42 Tax=Bacteria TaxID=2 RepID=A0A031ISQ8_MICLU	2GQHG	2E7BZ@1|root,331V9@2|Bacteria,2GQHG@201174|Actinobacteria,1WA1Q@1268|Micrococcaceae	201174|Actinobacteria	S	-	Domain of Unknown Function (DUF1540)	-
UniRef90_A0A031ISU0	83.3333	48	2	UniRef90_A0A031ISU0 Uncharacterized protein n=3 Tax=Micrococcus TaxID=1269 RepID=A0A031ISU0_MICLU	-	-	-	-	-	-	-
UniRef90_A0A061L275	74.2424	66	2	UniRef90_A0A061L275 Uncharacterized protein n=25 Tax=Enterobacterales TaxID=91347 RepID=A0A061L275_ECOLX	-	-	-	-	-	-	-
UniRef90_A0A067SIS7	63.6364	77	1	UniRef90_A0A067SIS7 Uncharacterized protein (Fragment) n=1 Tax=Galerina marginata (strain CBS 339.88) TaxID=685588 RepID=A0A067SIS7_GALM3	3NXRR	KOG0078@1|root,KOG0078@2759|Eukaryota,38GT3@33154|Opisthokonta,3NXRR@4751|Fungi,3UZ7S@5204|Basidiomycota,224P9@155619|Agaricomycetes,3H1HF@355688|Agaricomycetes incertae sedis	4751|Fungi	U	GO:0000003,GO:0000131,GO:0000166,GO:0000910,GO:0001411,GO:0001882,GO:0001883,GO:0002790,GO:0003006,GO:0003674,GO:0003824,GO:0003924,GO:0005488,GO:0005525,GO:0005575,GO:0005622,GO:0005623,GO:0005628,GO:0005737,GO:0005739,GO:0005740,GO:0005741,GO:0005768,GO:0005783,GO:0005815,GO:0005816,GO:0005856,GO:0005886,GO:0005933,GO:0005934,GO:0005935,GO:0005937,GO:0006810,GO:0006886,GO:0006887,GO:0006892,GO:0006893,GO:0006903,GO:0006904,GO:0006906,GO:0006914,GO:0006996,GO:0007049,GO:0007107,GO:0008104,GO:0008150,GO:0008152,GO:0009056,GO:0009306,GO:0009653,GO:0009987,GO:0010927,GO:0012505,GO:0012506,GO:0015031,GO:0015630,GO:0015833,GO:0016020,GO:0016043,GO:0016050,GO:0016192,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0017076,GO:0017111,GO:0017157,GO:0019001,GO:0019867,GO:0019953,GO:0022402,GO:0022406,GO:0022413,GO:0022414,GO:0022607,GO:0023052,GO:0030133,GO:0030154,GO:0030427,GO:0030435,GO:0030437,GO:0030658,GO:0030659,GO:0031090,GO:0031321,GO:0031410,GO:0031521,GO:0031966,GO:0031967,GO:0031968,GO:0031975,GO:0031982,GO:0032502,GO:0032505,GO:0032506,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032561,GO:0032879,GO:0032940,GO:0032989,GO:0032991,GO:0033036,GO:0034293,GO:0034613,GO:0035639,GO:0035690,GO:0035974,GO:0036094,GO:0042221,GO:0042493,GO:0042763,GO:0042764,GO:0042886,GO:0042995,GO:0043167,GO:0043168,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043332,GO:0043934,GO:0043935,GO:0044085,GO:0044237,GO:0044248,GO:0044422,GO:0044424,GO:0044429,GO:0044430,GO:0044433,GO:0044444,GO:0044446,GO:0044463,GO:0044464,GO:0044703,GO:0045184,GO:0046903,GO:0046907,GO:0048193,GO:0048278,GO:0048284,GO:0048468,GO:0048646,GO:0048856,GO:0048869,GO:0050789,GO:0050794,GO:0050896,GO:0051046,GO:0051049,GO:0051179,GO:0051234,GO:0051286,GO:0051301,GO:0051321,GO:0051640,GO:0051641,GO:0051648,GO:0051649,GO:0051650,GO:0051656,GO:0051704,GO:0051716,GO:0060627,GO:0061024,GO:0061025,GO:0061919,GO:0065007,GO:0070727,GO:0070887,GO:0071702,GO:0071705,GO:0071840,GO:0071944,GO:0072657,GO:0072659,GO:0090174,GO:0097159,GO:0097367,GO:0097708,GO:0098588,GO:0098805,GO:0098876,GO:0120025,GO:0120038,GO:0140029,GO:0140056,GO:1901265,GO:1901363,GO:1903046,GO:1903530,GO:1990778	GTP-binding protein	GO:0005525,GO:0003924
UniRef90_A0A068A203	88.2353	51	1	UniRef90_A0A068A203 Uncharacterized protein n=19 Tax=root TaxID=1 RepID=A0A068A203_9CAUD	-	-	-	-	-	-	-
UniRef90_A0A068A232	60	80	9	UniRef90_A0A068A232 HTH cro/C1-type domain-containing protein n=12 Tax=root TaxID=1 RepID=A0A068A232_9CAUD	-	-	-	-	-	-	GO:0003677
