pangene	length	percent_cov	unpaired_read_count
C_tuberculostearicum|CP065972.1_cds_QQA99934.1_833	264	92.0455	5
Cutibacterium_acnes_cluster_1050_AAT82212.1	315	68.2540	2
Cutibacterium_acnes_cluster_1130_AAT83118.1	945	50.5820	4
Cutibacterium_acnes_cluster_1141_ADD99459.1	174	82.7586	1
Cutibacterium_acnes_cluster_1142_ADE00473.1	270	55.9259	1
Cutibacterium_acnes_cluster_1188_EFT68891.1	375	83.7333	4
Cutibacterium_acnes_cluster_1314_AAT83557.1	222	68.0180	1
Cutibacterium_acnes_cluster_1329_ADE01186.1	195	58.4615	2
Cutibacterium_acnes_cluster_1399_EFS66435.1	294	51.3605	2
Cutibacterium_acnes_cluster_1519_AAT83983.1	348	57.4713	2
Cutibacterium_acnes_cluster_1574_BGJBCOMC_01397	336	86.9048	2
Cutibacterium_acnes_cluster_1577_EFS90488.1	546	60.8059	4
Cutibacterium_acnes_cluster_158_AEE71237.1	177	85.3107	1
Cutibacterium_acnes_cluster_1691_AAT82875.1	318	71.6981	5
Cutibacterium_acnes_cluster_170_AAT81973.1	810	55.9259	4
Cutibacterium_acnes_cluster_170_PKC22391.1	570	52.9825	2
Cutibacterium_acnes_cluster_1817_CCALPCNH_01897	153	72.5490	2
Cutibacterium_acnes_cluster_1817_EFT01609.1	222	50.0000	1
Cutibacterium_acnes_cluster_1836_AAT83637.1	312	55.1282	2
Cutibacterium_acnes_cluster_184_AAT82267.1	276	57.6087	2
Cutibacterium_acnes_cluster_1917_EGE75547.1	204	66.1765	1
Cutibacterium_acnes_cluster_1967_EFT02057.1	429	56.1772	4
Cutibacterium_acnes_cluster_1970_EFS45111.1	456	59.6491	4
Cutibacterium_acnes_cluster_1972_EFT02126.1	279	54.1219	1
Cutibacterium_acnes_cluster_1975_ADD99450.1	195	76.9231	2
Cutibacterium_acnes_cluster_2036_AAT82443.1	402	52.9851	2
Cutibacterium_acnes_cluster_2054_EFS87250.1	210	59.0476	1
Cutibacterium_acnes_cluster_2084_REB20100.1	230	65.6522	1
Cutibacterium_acnes_cluster_2122_EFT02365.1	561	52.4064	4
Cutibacterium_acnes_cluster_2140_EFT02363.1	534	56.5543	4
Cutibacterium_acnes_cluster_2183_EFT61454.1	246	68.2927	2
Cutibacterium_acnes_cluster_2197_EFS35116.1	237	63.7131	1
Cutibacterium_acnes_cluster_2255_EFT01592.1	312	72.4359	2
Cutibacterium_acnes_cluster_230_EGR94880.1	147	70.7483	2
Cutibacterium_acnes_cluster_2351_EGF72208.1	180	62.2222	2
Cutibacterium_acnes_cluster_2398_EFT64354.1	300	50.3333	1
Cutibacterium_acnes_cluster_2433_EFT02368.1	183	53.0055	2
Cutibacterium_acnes_cluster_2469_EGR94866.1	168	79.1667	1
Cutibacterium_acnes_cluster_2632_EFS86959.1	234	64.1026	1
Cutibacterium_acnes_cluster_2786_MUT17490.1	138	96.3768	1
Cutibacterium_acnes_cluster_2829_EFT03069.1	558	59.4982	3
Cutibacterium_acnes_cluster_2961_KEY38041.1	87	86.2069	1
Cutibacterium_acnes_cluster_3077_EFS87894.1	429	55.4779	2
Cutibacterium_acnes_cluster_3091_EFS60253.1	297	50.8418	1
Cutibacterium_acnes_cluster_3325_BBK84930.1	228	74.5614	4
Cutibacterium_acnes_cluster_333_AAT82399.1	414	50.9662	4
Cutibacterium_acnes_cluster_3456_ALT37763.1	222	68.0180	1
Cutibacterium_acnes_cluster_3593_EFD07529.1	267	56.5543	1
Cutibacterium_acnes_cluster_3624_TLG42948.1	279	54.1219	1
Cutibacterium_acnes_cluster_3724_EFT82246.1	189	79.8942	1
Cutibacterium_acnes_cluster_3877_EFS78851.1	231	65.3680	1
Cutibacterium_acnes_cluster_3963_EFD03412.1	177	85.3107	1
Cutibacterium_acnes_cluster_3963_OAX95908.1	198	76.2626	1
Cutibacterium_acnes_cluster_405_AAT83168.1	267	61.7978	4
Cutibacterium_acnes_cluster_4081_EFS87718.1	207	72.9469	1
Cutibacterium_acnes_cluster_4196_EFS80921.1	147	95.2381	1
Cutibacterium_acnes_cluster_4282_EFS65558.1	156	55.1282	1
Cutibacterium_acnes_cluster_4450_EFT03610.1	345	62.8986	2
Cutibacterium_acnes_cluster_4550_EFT02738.1	291	69.0722	6
Cutibacterium_acnes_cluster_4608_EFS88373.1	147	89.7959	1
Cutibacterium_acnes_cluster_4638_EFT74321.1	159	94.9686	1
Cutibacterium_acnes_cluster_4747_EFS41119.1	264	57.1970	1
Cutibacterium_acnes_cluster_4815_CCALPCNH_02093	495	52.9293	3
Cutibacterium_acnes_cluster_5196_EFS81940.1	582	51.8900	4
Cutibacterium_acnes_cluster_5241_EFS78721.1	261	57.8544	1
Cutibacterium_acnes_cluster_5254_EFT81891.1	174	64.3678	2
Cutibacterium_acnes_cluster_5299_CCALPCNH_02102	234	78.2051	10
Cutibacterium_acnes_cluster_5305_KEY35697.1	240	69.1667	2
Cutibacterium_acnes_cluster_5331_EFS86194.1	120	82.5000	2
Cutibacterium_acnes_cluster_5352_EGF66209.1	201	67.6617	1
Cutibacterium_acnes_cluster_548_AAT82453.1	219	54.7945	4
Cutibacterium_acnes_cluster_582_ESK59891.1	588	63.0952	7
Cutibacterium_acnes_cluster_6255_EFT73586.1	489	61.7587	2
Cutibacterium_acnes_cluster_6257_EFS84837.1	156	96.7949	1
Cutibacterium_acnes_cluster_6340_EFS65052.1	150	94.0000	2
Cutibacterium_acnes_cluster_6349_EFS50963.1	285	52.9825	2
Cutibacterium_acnes_cluster_6402_EFT26809.1	222	61.7117	1
Cutibacterium_acnes_cluster_6434_EFT79776.1	294	51.3605	1
Cutibacterium_acnes_cluster_6637_EGE75863.1	147	93.8776	2
Cutibacterium_acnes_cluster_6656_AEE71880.1	294	84.0136	7
Cutibacterium_acnes_cluster_6747_ESK59495.1	180	91.6667	5
Cutibacterium_acnes_cluster_6810_KEY38273.1	108	79.6296	2
Cutibacterium_acnes_cluster_6926_OAX93234.1	216	69.9074	1
Cutibacterium_acnes_cluster_6993_SDL16774.1	201	75.6219	6
Cutibacterium_acnes_cluster_725_AAT84058.1	612	59.6405	6
Cutibacterium_acnes_cluster_835_AAT83001.1	210	85.7143	2
Cutibacterium_acnes_cluster_851_AAT83220.1	264	57.1970	2
Cutibacterium_acnes_cluster_865_AAT82519.1	519	50.0963	2
Cutibacterium_acnes_cluster_985_AAT83745.1	474	59.0717	2
Cutibacterium_modestum_cluster_1637_REB75210.1	294	51.3605	1
Cutibacterium_modestum_cluster_1937_EFS92547.1	1065	53.7089	4
Cutibacterium_modestum_cluster_1990_EFS92169.1	555	52.7928	2
Cutibacterium_modestum_cluster_2318_EFS92918.1	348	71.2644	2
Cutibacterium_modestum_cluster_2787_EGG26665.1	201	69.1542	1
Cutibacterium_modestum_cluster_3276_EGG26541.1	189	73.0159	2
Cutibacterium_modestum_cluster_3317_EGG27424.1	177	81.9209	4
Cutibacterium_modestum_cluster_689_EFS92181.1	318	77.9874	2
Cutibacterium_modestum_cluster_710_EFS92624.1	297	50.8418	2
Cutibacterium_modestum_cluster_746_EFS92559.1	531	53.6723	2
Staphylococcus_aureus_cluster_10068_QEN62439.1	201	100.0000	793
Staphylococcus_aureus_cluster_10130_MRW79083.1	213	80.7512	20
Staphylococcus_aureus_cluster_1033_AGU62855.1	153	100.0000	92
Staphylococcus_aureus_cluster_10515_NVE20874.1	96	97.9167	45
Staphylococcus_aureus_cluster_10522_NVE20901.1	240	85.8333	86
Staphylococcus_aureus_cluster_11018_KGKNOGHC_02709	699	98.9986	91
Staphylococcus_aureus_cluster_11103_ATN56479.1	300	90.6667	21
Staphylococcus_aureus_cluster_11763_ATN56448.1	354	97.7401	25
Staphylococcus_aureus_cluster_11844_PEJKMINL_01294	234	76.0684	744
Staphylococcus_aureus_cluster_1227_AGU61662.1	204	85.7843	3296
Staphylococcus_aureus_cluster_1251_CAQ50660.1	114	99.1228	20
Staphylococcus_aureus_cluster_12611_ADL66001.1	1233	97.5669	127
Staphylococcus_aureus_cluster_12612_ADL66002.1	312	100.0000	30
Staphylococcus_aureus_cluster_12613_ADL66003.1	480	70.4167	24
Staphylococcus_aureus_cluster_12614_ADL66004.1	639	100.0000	111
Staphylococcus_aureus_cluster_12615_ADL66005.1	519	90.5588	156
Staphylococcus_aureus_cluster_12620_ADL66009.1	117	98.2906	8
Staphylococcus_aureus_cluster_12628_ADQ75884.1	672	70.0893	48
Staphylococcus_aureus_cluster_196_AUG74542.1	186	97.8495	298
Staphylococcus_aureus_cluster_196_CAI81803.1	210	100.0000	852
Staphylococcus_aureus_cluster_2531_CAQ49868.1	117	99.1453	26
Staphylococcus_aureus_cluster_2531_QCA26665.1	159	100.0000	1628
Staphylococcus_aureus_cluster_2801_AGP29517.1	1800	100.0000	446
Staphylococcus_aureus_cluster_2801_EWQ29822.1	813	92.3739	75
Staphylococcus_aureus_cluster_2801_EYQ27971.1	473	85.2008	48
Staphylococcus_aureus_cluster_3055_ADQ75889.1	1368	98.6111	192
Staphylococcus_aureus_cluster_3059_CAG40817.1	816	98.6520	2199
Staphylococcus_aureus_cluster_3224_AVG48961.1	1152	91.3194	38
Staphylococcus_aureus_cluster_3225_AXJ26189.1	2070	99.7101	307
Staphylococcus_aureus_cluster_3238_CAI79998.1	339	51.3274	7
Staphylococcus_aureus_cluster_3295_AGU62028.1	1776	71.4527	77
Staphylococcus_aureus_cluster_3316_AGU62029.1	888	82.6577	59
Staphylococcus_aureus_cluster_3316_PEJKMINL_00363	630	68.7302	21
Staphylococcus_aureus_cluster_336_AGU61732.1	300	66.6667	23
Staphylococcus_aureus_cluster_3416_EYJ16561.1	971	100.0000	1347
Staphylococcus_aureus_cluster_3416_TXO11578.1	401	99.7506	331
Staphylococcus_aureus_cluster_3425_CAQ51142.1	1263	99.9208	247
Staphylococcus_aureus_cluster_3621_ABD22938.1	945	100.0000	113
Staphylococcus_aureus_cluster_3621_ALF34518.1	330	98.1818	31
Staphylococcus_aureus_cluster_3621_BAGCECNP_00727	405	98.5185	51
Staphylococcus_aureus_cluster_3621_CAQ51141.1	750	99.8667	170
Staphylococcus_aureus_cluster_3621_EVY96137.1	840	93.5714	143
Staphylococcus_aureus_cluster_3623_KGKNOGHC_01422	948	51.0549	36
Staphylococcus_aureus_cluster_3971_HAEMMFOH_01998	330	80.0000	7
Staphylococcus_aureus_cluster_4173_ALK38038.1	483	88.6128	229
Staphylococcus_aureus_cluster_4173_CAQ48504.1	546	50.1832	94
Staphylococcus_aureus_cluster_4256_BAB47531.1	675	56.1481	16
Staphylococcus_aureus_cluster_4295_BAB41278.1	297	91.9192	7
Staphylococcus_aureus_cluster_4312_BAB41279.1	1047	92.9322	379
Staphylococcus_aureus_cluster_4781_AWQ30905.1	1389	98.7041	167
Staphylococcus_aureus_cluster_4781_FDPHMHDJ_02050	888	97.6351	107
Staphylococcus_aureus_cluster_4781_KGKNOGHC_00512	702	95.2991	42
Staphylococcus_aureus_cluster_4781_PEJKMINL_00361	258	99.6124	11
Staphylococcus_aureus_cluster_4877_CAQ48501.1	261	100.0000	15
Staphylococcus_aureus_cluster_4_CAI81789.1	219	100.0000	2216
Staphylococcus_aureus_cluster_5062_KKJ84364.1	327	99.6942	178
Staphylococcus_aureus_cluster_5153_BAB47509.1	936	99.7863	223
