other_OG	read_count_sum	RPK_sum	other_eggnog_cat	other_eggnog_desc	LIBID	feature_class
1MAHG|Others	48	53.33333333333333	S	Source PGD	MHS421	other_OG
1MBRQ|Others	15	52.083333333333336	S	Source PGD	MHS421	other_OG
1MEH9|Others	759	2442.685969001758	S	NAD-specific glutamate dehydrogenase. Source PGD	MHS421	other_OG
1MFAQ|Others	472	1484.2767295597484	S	Source PGD	MHS421	other_OG
1MFKV|Others	77	205.33333333333334	L	Origin recognition complex subunit. Source PGD	MHS421	other_OG
1MFXH|Others	7	13.645224171539962	E	Urease. Source PGD	MHS421	other_OG
1MGMC|Others	13	18.43971631205674	S	Serine threonine protein phosphatase 4 regulatory subunit. Source PGD	MHS421	other_OG
1MH8V|Others	27	75.25252525252526	O	Source PGD	MHS421	other_OG
1MI1Z|Others	20	74.9063670411985	S	function. Source PGD	MHS421	other_OG
1MJPT|Others	1	4.694835680751174	-	-	MHS421	other_OG
23TAK|Others	6	21.739130434782606	V	COG1131 ABC-type multidrug transport system, ATPase component	MHS421	other_OG
23U59|Others	39	125	E	Catalyzes the NADPH-dependent reduction of L-glutamate 5-phosphate into L-glutamate 5-semialdehyde and phosphate. The product spontaneously undergoes cyclization to form 1-pyrroline-5- carboxylate	MHS421	other_OG
23WMZ|Others	1	3.546099290780142	-	-	MHS421	other_OG
2D971|Others	16	55.01253783990479	-	-	MHS421	other_OG
2EV12|Others	4	15.064917056289584	S	Pfam:GVQW	MHS421	other_OG
2EWTI|Others	35	139.87175346379837	-	-	MHS421	other_OG
2F9WG|Others	57	280.7173584649172	S	Pfam:GVQW	MHS421	other_OG
2FC0B|Others	69	256.40433528856084	-	-	MHS421	other_OG
2FDWY|Others	206	686.6666666666667	-	-	MHS421	other_OG
2RZGN|Others	434	222.30358023096105	S	plant mutator transposase zinc finger	MHS421	other_OG
2RZRE|Others	55	117.52136752136751	-	-	MHS421	other_OG
2S5UM|Others	2301	4112.79751381857	C	LAGLIDADG endonuclease	MHS421	other_OG
2S6XN|Others	10	40.16064257028113	-	-	MHS421	other_OG
2S6ZE|Others	32	117.21611721611721	-	-	MHS421	other_OG
2SCUE|Others	2	3.6832412523020257	-	-	MHS421	other_OG
2SF6P|Others	290	1255.4112554112553	-	-	MHS421	other_OG
2SI06|Others	29	71.60493827160494	-	-	MHS421	other_OG
2SR5E|Others	214	672.9559748427673	-	-	MHS421	other_OG
2SW5Y|Others	315	1134.9356947079907	-	-	MHS421	other_OG
2SWXZ|Others	388	1563.7180540315826	-	-	MHS421	other_OG
2SXZZ|Others	8	22.408963585434176	-	-	MHS421	other_OG
2SZSZ|Others	438	1028.2516105941304	-	-	MHS421	other_OG
2T0F6|Others	301	845.5419164525645	-	-	MHS421	other_OG
2XAM8|Others	1	4.975124378109452	U	Rab subfamily of small GTPases	MHS421	other_OG
2XAWD|Others	156	335.4838709677419	O	Belongs to the peptidase A1 family	MHS421	other_OG
2XBEW|Others	6	37.735849056603776	S	Fcf1	MHS421	other_OG
2XDMK|Others	1	5.555555555555555	A	LSM domain	MHS421	other_OG
2XE16|Others	297	727.9411764705883	H	Biotin/lipoate A/B protein ligase family	MHS421	other_OG
2XECK|Others	2	6.734006734006734	J	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis	MHS421	other_OG
2XED7|Others	26	49.808429118773944	O	Eukaryotic aspartyl protease	MHS421	other_OG
2XETC|Others	1	6.0606060606060606	Q	Belongs to the class-I pyridine nucleotide-disulfide oxidoreductase family	MHS421	other_OG
34GN9|Others	5	24.50980392156863	A	Splicing factor 3B subunit 1	MHS421	other_OG
34GSN|Others	3	10.416666666666668	O	Belongs to the AAA ATPase family	MHS421	other_OG
34GTW|Others	22	32.305433186490454	A	PRO8NT (NUC069), PrP8 N-terminal domain	MHS421	other_OG
34GZY|Others	20	63.727879747236	OT	motif in proteasome subunits, Int-6, Nip-1 and TRIP-15	MHS421	other_OG
34HDP|Others	18	50.420168067226896	DO	Anaphase promoting complex subunit 8 / Cdc23	MHS421	other_OG
34I4X|Others	9	37.03703703703704	G	Lipase (class 3)	MHS421	other_OG
34IBW|Others	9	44.11764705882353	K	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates	MHS421	other_OG
34IZP|Others	30	42.19409282700422	O	Belongs to the peptidase C19 family	MHS421	other_OG
34J6J|Others	43	186.28867220416515	U	Rab subfamily of small GTPases	MHS421	other_OG
34JC7|Others	105	63.40579710144928	S	Predicted ATPase of the ABC class	MHS421	other_OG
34KBX|Others	15	40.32258064516129	DZ	Regulator of chromosome condensation (RCC1) repeat	MHS421	other_OG
34KCG|Others	349	1107.936507936508	E	Belongs to the peroxidase family	MHS421	other_OG
34KHD|Others	4	17.316017316017316	A	RNA recognition motif	MHS421	other_OG
34KN9|Others	3	8.333333333333334	O	Belongs to the ubiquitin-conjugating enzyme family	MHS421	other_OG
34KUY|Others	29	81.23249299719889	S	Protein of unknown function (DUF1749)	MHS421	other_OG
34MTJ|Others	93	389.31082981715895	S	Acetyltransferase (GNAT) family	MHS421	other_OG
34NSB|Others	30	80	-	-	MHS421	other_OG
37JFH|Others	9	28.037383177570092	F	belongs to the metallo- dependent hydrolases superfamily. Urease alpha subunit family	MHS421	other_OG
37PTM|Others	7	35.8974358974359	U	Belongs to the small GTPase superfamily. Arf family	MHS421	other_OG
37RRH|Others	40	62.893081761006286	P	DNA RNA polymerases superfamily protein	MHS421	other_OG
37UE8|Others	1	5.208333333333333	B	Core component of nucleosome. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling	MHS421	other_OG
389ZI|Others	211	586.1111111111111	-	-	MHS421	other_OG
38BS8|Others	66	105.30890009428934	Z	heavy chain	MHS421	other_OG
38C4R|Others	1100	1638.332426879381	C	Key enzyme for ketone body catabolism. Transfers the CoA moiety from succinate to acetoacetate. Formation of the enzyme-CoA intermediate proceeds via an unstable anhydride species formed between the carboxylate groups of the enzyme and substrate	MHS421	other_OG
38CMS|Others	70	49.64539007092199	IQ	vacuolar fusion protein MON1	MHS421	other_OG
38CV6|Others	5	17.921146953405017	IT	delta14-sterol reductase activity	MHS421	other_OG
38CWK|Others	80	193.23671497584542	O	negative regulation of endoplasmic reticulum stress-induced neuron intrinsic apoptotic signaling pathway	MHS421	other_OG
38D42|Others	125	137.64580382281449	O	aspartic-type endopeptidase activity	MHS421	other_OG
38D6P|Others	2250	1441.5299822490533	I	phosphopantetheine binding	MHS421	other_OG
38DBC|Others	4	12.820512820512821	E	protein-cysteine S-acyltransferase activity	MHS421	other_OG
38DJE|Others	19	70.37037037037037	O	protein N-linked glycosylation via asparagine	MHS421	other_OG
38DZP|Others	8	32.1285140562249	E	Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family	MHS421	other_OG
38EEA|Others	6	25.64102564102564	E	Histidinol-phosphatase	MHS421	other_OG
38EJA|Others	786	2744.351831542005	O	Belongs to the heat shock protein 70 family	MHS421	other_OG
38EME|Others	17	37.280701754385966	U	ras-related GTP-binding protein	MHS421	other_OG
38FV5|Others	219	480.2631578947368	Q	L-aminoadipate-semialdehyde dehydrogenase activity	MHS421	other_OG
38GS1|Others	19	21.61547212741752	T	Camp-dependent protein kinase	MHS421	other_OG
38HND|Others	185	167.11833785004518	U	cytoplasmic mRNA processing body assembly	MHS421	other_OG
39K0E|Others	22	72.60726072607261	U	GTP binding	MHS421	other_OG
39N4Q|Others	38	25.182239893969516	IQ	Reverse transcriptase (RNA-dependent DNA polymerase)	MHS421	other_OG
39T86|Others	25	79.36507936507937	J	U1 snRNA 3'-end processing	MHS421	other_OG
39V1V|Others	82	154.42561205273068	V	NiCotinamidase	MHS421	other_OG
39ZU5|Others	48	160	J	structural constituent of ribosome	MHS421	other_OG
39ZVS|Others	10	38.33567087424029	J	mRNA 5'-UTR binding	MHS421	other_OG
3A15D|Others	76	97.0625798212005	S	Repeated motif present between transmembrane helices in cystinosin, yeast ERS1p, mannose-P-dolichol utilization defect 1, and other hypothetical proteins.	MHS421	other_OG
3A1NV|Others	14	61.50130063173541	Z	Belongs to the ATG8 family	MHS421	other_OG
3A1PZ|Others	10	59.52380952380952	-	-	MHS421	other_OG
3A3FA|Others	11	38.59649122807018	A	regulation of alternative mRNA splicing, via spliceosome	MHS421	other_OG
3A3NX|Others	2	3.898635477582846	-	-	MHS421	other_OG
3A5W5|Others	19	60.8974358974359	K	helix-loop-helix dna-binding domain-containing protein	MHS421	other_OG
3A63N|Others	1	3.9682539682539684	J	ribosomal small subunit assembly	MHS421	other_OG
3A8FK|Others	1	5.05050505050505	J	Ribosomal protein	MHS421	other_OG
3B93Y|Others	39	83.46098346098346	P	This magnesium-dependent enzyme catalyzes the hydrolysis of ATP coupled with the transport of calcium	MHS421	other_OG
3B940|Others	14	26.780672743405663	B	H3K27me3 modified histone binding	MHS421	other_OG
3B943|Others	4	21.164021164021165	TZ	Adducin 3 (Gamma)	MHS421	other_OG
3B94A|Others	3	10.101010101010102	C	regulation of acid-sensing ion channel activity	MHS421	other_OG
3B95P|Others	33	44.487762616417584	B	Belongs to the histone deacetylase family. HD Type 1 subfamily	MHS421	other_OG
3B95S|Others	11	24.26564495530013	CE	Belongs to the aconitase IPM isomerase family	MHS421	other_OG
3B95Z|Others	8	16.359918200409	K	histone demethylase activity (H3-K9 specific)	MHS421	other_OG
3B96I|Others	4	13.745704467353953	TZ	Roundabout binding	MHS421	other_OG
3B96W|Others	3	12.195121951219512	W	integrin	MHS421	other_OG
3B97W|Others	3	14.492753623188406	K	DNA-directed 5'-3' RNA polymerase activity	MHS421	other_OG
3B98N|Others	2	4.535147392290249	K	histone methyltransferase activity (H3-K4 specific)	MHS421	other_OG
3B99C|Others	7	24.822695035460995	A	negative regulation of DNA damage checkpoint	MHS421	other_OG
3B9AY|Others	1	3.7037037037037033	J	embryonic brain development	MHS421	other_OG
3B9B3|Others	4	7.49063670411985	E	isocitrate dehydrogenase (NAD+) activity	MHS421	other_OG
3B9C5|Others	11	46.413502109704645	K	Transcription elongation factor that enhances transcription elongation by RNA polymerase II (RNAPII)	MHS421	other_OG
3B9E8|Others	1	4.901960784313726	TZ	cysteine and glycine-rich protein	MHS421	other_OG
3B9EV|Others	8	36.03603603603604	T	non-membrane spanning protein tyrosine kinase activity	MHS421	other_OG
3B9FE|Others	34	116.07631558370474	J	methionyl-tRNA aminoacylation	MHS421	other_OG
3B9FI|Others	13	30.952380952380953	A	regulation of mRNA processing	MHS421	other_OG
3B9FS|Others	7	16.73567977915804	T	positive regulation of caveolin-mediated endocytosis	MHS421	other_OG
3B9G3|Others	2142	2409.367240311546	J	translation release factor activity	MHS421	other_OG
3B9GM|Others	1	4.273504273504273	A	ATP-dependent RNA helicase	MHS421	other_OG
3B9HM|Others	1	4.444444444444445	P	intracellular sodium activated potassium channel activity	MHS421	other_OG
3B9HR|Others	9	23.736349294158625	T	lipoprotein receptor-related protein	MHS421	other_OG
3B9I2|Others	5	15.662835249042146	E	Metalloendopeptidase activity. It is involved in the biological process described with proteolysis	MHS421	other_OG
3B9IR|Others	133	203.13876474725927	T	myosin light chain kinase activity	MHS421	other_OG
3B9IT|Others	52	57.77777777777778	T	positive regulation of cardioblast proliferation	MHS421	other_OG
