feature	baseMean	log2FoldChange	lfcSE	pvalue	padj	fungi_eggnog_cat	fungi_eggnog_desc
3NTYW	12.993990264562603	-0.47279097192593833	0.4678977241918682	0.040688035267565044	0.41797708956680457	P	transporter
3NTZE	65.85479347484234	-0.0441282222641237	0.474369407941994	0.8319650103297355	0.9268551081715763	Q	Belongs to the ABC transporter superfamily. ABCG family. PDR (TC 3.A.1.205) subfamily
3NU06	11.665183839353707	-0.5630284658082307	0.48480469177532665	0.010169692227421881	0.28729380542466815	A	Multiple RNA-binding domain-containing protein
3NU07	78.6393130851678	-0.20924390670362356	0.4024202379148331	0.41663681033081423	0.8259642029365264	J	Belongs to the universal ribosomal protein uS3 family
3NU1K	25.34004003288993	0.3118292481724737	0.4434585317545288	0.19932488024184603	0.5821797608885486	C	Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) that is believed to belong to the minimal assembly required for catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain
3NU42	18.23445212610978	-0.4925387720504843	0.4817123837672711	0.023940164032575022	0.3381548169601222	C	Belongs to the FAD-dependent glycerol-3-phosphate dehydrogenase family
3NU5Z	57.00360578188813	0.07176246104300901	0.4375713822733969	0.766667858669627	0.9268551081715763	H	Belongs to the citrate synthase family
3NU6V	17.94808264730275	0.0676126673082411	0.4486560805030895	0.7727113735547624	0.9268551081715763	OPU	Vacuolar transporter chaperone
3NU73	19.063980538270183	-0.0819591139568375	0.4683281018599697	0.7039365722804084	0.9268551081715763	E	oxidoreductase
3NU8R	31.851806764095592	-0.4954774384118473	0.46620642460544	0.033932030858351475	0.3834319486993717	O	Belongs to the peptidase M16 family
3NU8W	13.223411254793485	-0.14636823410449556	0.456716189993332	0.5218388812518834	0.888452700018638	O	Belongs to the Rab GDI family
3NU9Y	18.399973420747884	-0.20897143298465776	0.4611451022295627	0.35522090672693946	0.7433326381508177	EF	ribose-phosphate pyrophosphokinase
3NUA1	25.080957211171917	0.014212919925563979	0.4746110739686492	0.9453888969763845	0.9453888969763845	G	Belongs to the FBPase class 1 family
3NUA7	20.143052814617626	-0.7460855264163037	0.45678052121588236	0.0029974861097876036	0.2739022639157424	E	Cysteine desulfurase
3NUAR	22.152694077058307	-0.277745177412549	0.4758389643956751	0.19212420158649968	0.5821797608885486	I	acyl-CoA synthetase
3NUBV	13.666070451201954	-0.36942564945383183	0.47727134662127124	0.08710488160692054	0.5487376680167875	J	Elongation factor
3NUCQ	31.679470435100928	0.20730459061045214	0.4638938602174814	0.3532553247211644	0.7433326381508177	I	Belongs to the acyl-CoA oxidase family
3NUFA	440.35664651825937	-0.23702570051956692	0.43144208282735863	0.3388236856977305	0.7433326381508177	P	plasma membrane ATPase
3NUFD	91.80469071763088	-0.12662457151665163	0.46995361522530105	0.5552231486024664	0.8962887970296957	CH	Belongs to the GMC oxidoreductase family
3NUG8	14.826971435000084	-0.30349387208722345	0.4821983951078334	0.1410519315908724	0.5487376680167875	I	Belongs to the OSBP family
3NUI9	45.20605463604503	-0.3729376108216019	0.4741371003197347	0.08951069582943622	0.5487376680167875	M	13-beta-glucan synthase
3NUKK	147.12681772538102	-0.12480846277928323	0.38165793207687065	0.6307710726490384	0.9268551081715763	C	Cytochrome c oxidase is the component of the respiratory chain that catalyzes the reduction of oxygen to water. Subunits 1- 3 form the functional core of the enzyme complex. Subunit 2 transfers the electrons from cytochrome c via its binuclear copper A center to the bimetallic center of the catalytic subunit 1
3NUM5	15.464885173783452	-0.34254559985068483	0.4632397643316634	0.1347560055877774	0.5487376680167875	DUZ	Belongs to the TRAFAC class TrmE-Era-EngA-EngB-Septin- like GTPase superfamily. Septin GTPase family
3NUMZ	59.91749754220923	0.09900196239882171	0.44873430668154024	0.6727183116349793	0.9268551081715763	E	Glutamate synthase
3NUN2	18.778851720494213	-0.30015152135661993	0.48728616292272015	0.13124897131371596	0.5487376680167875	J	Leucyl-trna synthetase
3NUP6	26.180560783686396	-0.024871694734325524	0.4664476289325606	0.9088508420231283	0.9268551081715763	J	Aspartyl-tRNA synthetase
3NUQM	229.94507805890603	-0.06737175985534262	0.4066638966718068	0.7918684866303667	0.9268551081715763	C	Subunits I, II and III form the functional core of the enzyme complex
3NUR2	35.93830537905459	0.04123222421306287	0.4611382598455383	0.853232657209587	0.9268551081715763	M	glucosamine--fructose-6-phosphate aminotransferase
3NURF	11.702695969941749	-0.029770099876872392	0.44740653234076544	0.8991136619509023	0.9268551081715763	U	mitochondrial import receptor subunit tom-40
3NUSV	14.714159299776542	0.0923810144918787	0.4680374500172595	0.6691085651978415	0.9268551081715763	O	Serine palmitoyltransferase
3NUU6	28.536189729805677	-0.5108412856043028	0.4860878778595236	0.01705915115259378	0.3212806800405162	I	acetylCoA carboxylase
3NUUE	29.989361762597913	0.3000164182542307	0.4722441051196523	0.16896860072522132	0.5615721141750003	C	flavin oxidoreductase
3NUWZ	105.53840369114774	0.350688494218495	0.4464030286663182	0.14786633069030464	0.5487376680167875	M	Phospholipase c
3NUYW	65.64063175751426	-0.1747838944095922	0.43945577270149283	0.4702239717122243	0.883622928107775	O	Belongs to the heat shock protein 70 family
3NV0M	16.996877972539014	-0.5657864651119412	0.47329672104744963	0.014318107452081693	0.3212806800405162	P	cation-transporting ATPase
3NV17	192.2834554321745	-0.4736336387190725	0.4116199482044595	0.06900652481785381	0.519849153627832	CE	Belongs to the aconitase IPM isomerase family
3NV19	19.133080250675597	-0.31386034722709666	0.48149864075636667	0.1307192595534955	0.5487376680167875	T	Belongs to the BI1 family
3NV1H	32.77589178663834	-0.26559583910328655	0.46759431225591613	0.23074479885571578	0.5889235348422289	P	Sulfite reductase
3NV25	94.72298417160451	-0.031185331337136635	0.4597391271455459	0.8893728650062462	0.9268551081715763	P	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family
3NV4S	43.83836526539733	-0.09722360792643597	0.4625378922955891	0.6615620842419856	0.9268551081715763	O	Belongs to the peptidase A1 family
