feature	baseMean	log2FoldChange	lfcSE	pvalue	padj	fungi_eggnog_cat	fungi_eggnog_desc
3NTVF	49.785590597685186	-0.42736507035999594	0.6329663366167642	0.38982987580844364	0.5295605176664073	L	Dna repair helicase rad25
3NTVK	248.08750961921342	-0.1881442872377367	0.6216811455669089	0.7029958579489678	0.7838376674350492	I	Cral trio domain protein
3NTVM	50.29594278399051	-0.6001725320010318	0.6492336229259039	0.23133548975192278	0.38675560932148456	A	Second step of mRNA capping. Transfer of the GMP moiety of GTP to the 5'-end of RNA via an enzyme-GMP covalent reaction intermediate
3NTVQ	48.283587508277584	-0.001832705793436514	0.6713162572747299	0.9971112880324913	0.9989655163691394	S	mRNA processing protein
3NTVR	31.065282317365565	-0.6436039009723693	0.6721772111677798	0.2037159982077528	0.3569646496194498	F	Golgi to endosome transport protein
3NTVW	16.55474635766668	-1.2069114179138647	0.5647510292788481	0.010346248238864233	NA	U	snare protein
3NTVY	42.36072779253621	-1.22153823235253	0.5649971075285433	0.009473469008890716	0.07708000558178595	G	Fructose-2,6-bisphosphatase
3NTW3	165.38265670050865	-0.7910814474396024	0.5695267547721243	0.0943697247966476	0.2285019740862647	T	transporter
3NTW4	42.45961500912402	-0.39439321295380625	0.612999245201086	0.42136985426392637	0.5588012528853916	H	Thiamine biosynthetic bifunctional
3NTW5	127.00040810807891	-1.232147255742479	0.5768364188329127	0.00966692489605415	0.07761179153880692	B	histone deacetylase
3NTW8	124.95619500266876	-1.4083610027763183	0.6405053583322544	0.004778469559016527	0.059858489494768005	Z	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
3NTW9	266.51218122525063	0.7552426796639305	0.41867390371968555	0.04799561739962986	0.16624517386468243	J	Belongs to the universal ribosomal protein uL5 family
3NTWB	17.884833529560467	-0.9529813081645284	0.6464746443168257	0.05701537865803852	NA	U	Component of the endosomal sorting complex required for transport II (ESCRT-II), which is required for multivesicular body (MVB) formation and sorting of endosomal cargo proteins into MVBs
3NTWE	378.52000938231305	0.33884211162318933	0.5715338002162905	0.4745338831216413	0.6018955374497569	C	Belongs to the mitochondrial carrier (TC 2.A.29) family
3NTWF	46.11488420713502	-0.9923099465544423	0.66502759910246	0.0494174349243915	0.16850407003491089	B	histone deacetylase
3NTWG	37.16610777423753	-1.2773993352976492	0.679490509144813	0.011848674643445654	0.08684997910416797	K	Functions as component of the transcription regulatory histone acetylation (HAT) complexes SAGA, SALSA and ADA. SAGA is involved in RNA polymerase II-dependent transcriptional regulation
3NTWH	33.82185044000171	-0.8951947672089566	0.6571256019605417	0.07530152491253408	0.2069566585211532	J	Belongs to the universal ribosomal protein uS5 family
3NTWM	160.25404248304298	-0.9200314411996334	0.6481232049957029	0.06638073739804283	0.19622838009983853	E	The AROM polypeptide catalyzes 5 consecutive enzymatic reactions in prechorismate polyaromatic amino acid biosynthesis
3NTWN	37.07509404189491	-0.43253595155098346	0.675696258496827	0.39356246794336275	0.5315632943778105	T	The B regulatory subunit might modulate substrate selectivity and catalytic activity, and also might direct the localization of the catalytic enzyme to a particular subcellular compartment
3NTWS	48.81324536373986	0.11309849271982525	0.6479318094231992	0.8214345973215766	0.8775992017529453	J	Acts as an adapter for the XPO1 CRM1-mediated export of the 60S ribosomal subunit
3NTWU	47.247342034917445	-0.6097513733091932	0.5714973158479575	0.19812332003688632	0.3519833097110388	T	serine threonine-protein phosphatase
3NTWV	45.38231086947955	0.7274942818757201	0.8039011197039566	0.14280820438122024	0.2892506882820907	P	Phosphate transporter
3NTWW	21.214726920592042	-1.1468599165060729	0.6680344800808918	0.023307889077095575	NA	S	Mitochondrial protein
3NTWY	46.226722614391754	-0.4234443562650618	0.6722436296928228	0.4030261328873202	0.5407978308668587	T	STE STE20 PAKA protein kinase
3NTX1	103.03324252846281	-0.8553148535817969	0.7504537169813494	0.09318584399163207	0.22736192014882153	K	phd transcription factor
3NTX6	98.80607604495091	-0.8406693942188236	0.6725990922113921	0.0969209098109667	0.2318141627554198	UY	Nuclear pore complex
3NTX7	82.09607629093945	-0.5890773481785814	0.6507873540362482	0.24043590246938634	0.3958283955855826	UY	Importin 11
3NTXD	93.4507135027371	-0.7052923373853731	0.6974777082951388	0.16654881857930517	0.3168346702189142	L	Dna polymerase gamma
3NTXF	189.54527403318076	0.005186742881381325	0.5398412267154176	0.9909721488375954	0.9955920656153932	J	Belongs to the eukaryotic ribosomal protein eS4 family
3NTXG	19.532703977825097	-0.7659307290404436	0.6881661049560915	0.13223546711716677	NA	K	-phosphatase
3NTXH	42.41577728482573	-0.16040874719368295	0.6277526322322085	0.7460893547230709	0.8165680850321065	J	Belongs to the class-I aminoacyl-tRNA synthetase family
3NTXI	21.79013053867932	-0.2909376309013544	0.6768533683034881	0.5662009052106152	NA	O	Deoxyhypusine synthase
3NTXM	37.6358223502887	-1.4609204078108804	0.6993446590200711	0.004176195577327101	0.058062590123483235	S	WD-repeat protein pop3
3NTXU	28.79632841962969	-0.2902999734850169	0.6074385479530798	0.5523492461192381	0.6679644362440843	A	Required for 40S ribosome biogenesis. Involved in nucleolar processing of pre-18S ribosomal RNA and ribosome assembly
3NTXX	36.880208915594274	-1.0294899486095999	0.6896527910466475	0.04311360655709032	0.15694226711238113	I	cdp-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase
3NTXZ	38.72273781069933	-1.011560044348031	0.6460874925196602	0.04332283340773809	0.15743795277179695	KL	Transcription factor
3NTY2	130.07894688628753	-0.346896163299099	0.45385338146949966	0.3936309474116845	0.5315632943778105	C	Fumarate hydratase
3NTY3	66.75902825574394	-1.0374325304469088	0.5689121224303741	0.028162788368301984	0.12356304948812455	H	Catalyzes the methyl transfer from S-adenosyl-methionine to the C-24 of zymosterol to form fecosterol
3NTY4	71.06070848996124	-0.871380172388281	0.6671563039933037	0.0846961807249344	0.21728603507408767	J	YdiU domain protein
3NTY6	41.332200928278716	-1.391083580757939	0.6718312393814865	0.006004236903507374	0.06601597207682852	S	Transcription factor
3NTY7	45.3149449528224	-1.0622749032083474	0.6622205464490234	0.03521034443778952	0.14086681449778965	J	phenylalanyl-tRNA synthetase alpha chain
3NTY8	31.745830587382812	-0.8957211346799909	0.6828767666308071	0.07791571625258746	0.20858182425382107	O	pre-rRNA-processing protein PNO1
3NTYA	47.720976799133354	-1.4665725498246809	0.6963285820926747	0.004012273332200434	0.05651273876399958	T	cmgc dyrk yak protein kinase
3NTYD	63.879196338971326	-0.4082309288146974	0.5914981080430348	0.3973951056665045	0.5355762681121433	C	Belongs to the mitochondrial carrier (TC 2.A.29) family
3NTYE	28.797781270576266	-0.3245008138255492	0.7066732121699163	0.5250393556494051	0.6450740087938814	S	NA
3NTYH	100.10069482507404	-1.6081101613684976	0.6459754802791949	0.0013164232250385403	0.0465064270484927	BD	Structural maintenance of chromosomes protein
3NTYJ	66.76435106038132	-0.8573877166353916	0.6970383639908402	0.09259995603788991	0.22736192014882153	G	Belongs to the PI3 PI4-kinase family
3NTYK	339.1975468907293	-0.5468803232325168	0.6185776585751049	0.2667468833866283	0.41919600032217874	M	Chitin Synthase
3NTYM	57.06043612236434	-0.34184708396118374	0.6136097657568523	0.48604178624681726	0.6132235626715296	I	carbamoylphosphate synthase
3NTYN	37.4098923935382	-0.1916230902861165	0.6421591761607249	0.7013023521931275	0.7826548777712014	C	Belongs to the mitochondrial carrier (TC 2.A.29) family
3NTYR	45.5975929148705	-0.5616971549326321	0.6989551632552476	0.2707069588240154	0.42299516079804844	L	DNA repair helicase
3NTYS	68.204047360673	-1.4812633300637814	0.6885977562164745	0.00360348912431963	0.055341566966597575	C	Belongs to the cytochrome b5 family
3NTYU	52.98043599094563	-0.867684515030438	0.7238520094054126	0.08952759854643173	0.22355964642822757	U	Signal transduction protein
3NTYW	74.19693537736224	-0.9097416591396446	0.6012250599889285	0.061329121834280007	0.1894338738764123	P	transporter
3NTYX	36.04137336526381	-0.7997092619379031	0.6171232580947683	0.10402547750295504	0.24009838815398096	E	Xaa-pro dipeptidase
3NTYZ	66.39304080781129	-1.2386340426793003	0.664167695768227	0.01414372309575437	0.09465752568742443	O	IQ and HECT domain protein
3NTZ0	94.32232482370183	-0.236950234692459	0.5229472621103086	0.5979423862064404	0.706838092306571	J	Belongs to the eukaryotic ribosomal protein eS7 family
3NTZ4	76.26637603180141	-1.34173116467071	0.6115669702614173	0.0061776988647240455	0.06656470526740159	J	Glycyl-trna synthetase
3NTZB	44.76353392285933	-0.5340191918681477	0.5517101924884674	0.25020879365761417	0.4041234416170317	C	Belongs to the mitochondrial carrier (TC 2.A.29) family
3NTZH	30.9578363989888	-0.7951106404065716	0.6250396515169824	0.10788386648186923	0.24576856832430274	O	proteasome subunit alpha
3NTZI	92.567954165717	-0.8901234145606726	0.6398460705634721	0.07442674201406045	0.20695436005200035	S	cell polarity protein
3NTZJ	27.817401249504492	0.2241908062638745	0.650069871415354	0.6549335376383512	0.7483466456047967	O	Glutathione S-transferase
3NTZK	47.98087456232705	-0.47862113339331147	0.6355838693736552	0.33626202616286455	0.4788625376598377	I	Belongs to the enoyl-CoA hydratase isomerase family
3NTZQ	178.44980926778274	0.4211334489341149	0.48375183890601703	0.3230259025277595	0.46813774038152095	J	60S ribosomal protein L7
3NTZR	27.49380950984074	-1.2365620349791802	0.6838608345724326	0.01497169406556899	0.09517662614010752	U	vacuolar protein sorting-associated protein 74
3NTZT	21.69303390485428	-1.853440092715329	0.5969433836496083	1.3073035252780682e-4	NA	O	gpi-anchor transamidase
3NTZU	54.028212758032424	-0.5504690425625496	0.5564526031362398	0.23825712992602943	0.39314250764976527	A	Branchpoint-bridging protein
3NU01	120.858198370911	-1.307548498813104	0.6759542346358132	0.009911199393495463	0.07823675711715283	S	nucleoporin pom152
3NU02	70.06230833827078	-0.31021735400979294	0.6546877996944763	0.5372053696013455	0.6555586187912803	L	tpr repeat-containing protein
3NU03	22.33657551671423	-0.9420243559414581	0.6380017269309101	0.058763868810387726	NA	H	Component of the coenzyme Q biosynthetic pathway. May play a role in organizing a multi-subunit COQ enzyme complex required for coenzyme Q biosynthesis. Required for steady-state levels of other COQ polypeptides
3NU06	87.85624215339746	-0.6608134698522532	0.5318499696426827	0.14567241344180765	0.2920696095546603	A	Multiple RNA-binding domain-containing protein
3NU07	563.5984566004687	0.5181819002935952	0.45409598476262136	0.20275352138679736	0.3569646496194498	J	Belongs to the universal ribosomal protein uS3 family
3NU08	21.008388328703905	-0.09589465595271454	0.6951780645968171	0.8507407424608613	NA	A	Belongs to the class I-like SAM-binding methyltransferase superfamily. rRNA adenine N(6)-methyltransferase family
3NU0B	58.87112675257781	-0.7396496987610769	0.6138066719183444	0.13179734329942375	0.27736647930689273	U	Reduced viability upon starvation protein
3NU0E	21.795205100533497	-0.24949320311059714	0.5696114564209993	0.5978299222153072	NA	O	proteasome subunit alpha
3NU0F	51.17199205983135	-1.2911714706922655	0.6354131955416291	0.009478515767597806	0.07708000558178595	Q	glutathione synthetase
3NU0K	53.45483041652453	-0.6585624188657997	0.6821783433018942	0.19483575911029052	0.3493597943330091	E	5-oxoprolinase
3NU0M	52.917914975950346	-1.709589558790499	0.6139190306788017	4.957409950498862e-4	0.029741200860128242	E	Gamma-glutamyl phosphate reductase
3NU0P	205.45875591643338	-0.5658185480455362	0.601696868655493	0.2446994617398892	0.39905963190874866	O	Belongs to the TRAFAC class dynamin-like GTPase superfamily. Dynamin Fzo YdjA family
3NU0R	121.32693924368249	-0.8169235945047101	0.6110125785677601	0.09534687469053937	0.22932200330146466	J	RNA-binding component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis of a specialized repertoire of mRNAs and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome. The eIF-3 complex specifically targets and initiates translation of a subset of mRNAs involved in cell proliferation
3NU0S	39.830073015218616	-0.2503169105275226	0.5855966034306104	0.6019851846253368	0.7096707181989063	J	Catalyzes the formation of N(7)-methylguanine at position 46 (m7G46) in tRNA
3NU0T	40.80530102982696	-0.9850144309384065	0.6514827356079536	0.04973375371229911	0.1693147539494543	L	Origin recognition complex subunit
3NU0X	43.716144269100866	-0.8178330700342278	0.6761075374654073	0.10675487675410131	0.24422161295656936	K	Rna polymerase ii transcription elongation factor
3NU0Y	75.75879904735899	-0.5866530832082818	0.5469998477100186	0.20422001501183348	0.3572192632715107	E	Belongs to the D-isomer specific 2-hydroxyacid dehydrogenase family
3NU0Z	167.87294429282392	-1.285040641332043	0.6220731030868042	0.009227906898552614	0.07694560127682147	A	factor mot1
3NU13	71.24379979768939	-0.86667902929407	0.6856438278300903	0.08829589350936864	0.22189680828681685	T	nucleotide exchange factor
3NU14	71.49629264385071	-0.8048747318422024	0.6086496338957826	0.09974444123147061	0.2344048755221583	T	protein phosphatase PP2A regulatory subunit A
3NU15	26.331605158631326	-0.49410697803837506	0.664431450238686	0.32774552269324664	0.47306872163693675	O	DnaJ domain-containing protein
3NU16	61.934835044091045	-1.2023325866816315	0.6740963556354033	0.017650480492049966	0.10285354637442869	KL	Dna repair transcription protein
3NU18	30.726040649450834	-0.6044506300828233	0.6815105824590726	0.23400106638436463	0.38909899541535936	Z	Belongs to the actin family
3NU19	52.76822437621625	0.021598375280897766	0.6364614441153642	0.9654063205719966	0.9790355862741895	E	Belongs to the GMC oxidoreductase family
3NU1C	111.40755921540456	-0.5687713936189568	0.6073052918128492	0.24426599208621153	0.39905963190874866	KL	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates
3NU1D	25.87739493386802	-0.9897410703322204	0.5463742131509483	0.03207758600418283	0.13210243910062072	K	Transcription factor tfiiib complex subunit brf1
3NU1E	51.3553745493498	-1.2386728405251768	0.6778460179976679	0.01462338547513285	0.09510854215666381	V	phosphatase
3NU1G	80.59635598020914	-1.314664344474586	0.6250535828090418	0.007852818768843235	0.07263014784058872	I	Lysophospholipase
3NU1K	199.98979374775323	-0.2520871708955226	0.5233214314958333	0.5749392787141314	0.6875661185510284	C	Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) that is believed to belong to the minimal assembly required for catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain
3NU1M	84.6377479127943	0.6794143625781525	0.699818998528342	0.18283655102274649	0.3376287638851917	P	Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family
3NU1P	41.36295930790496	-0.7760083719662764	0.7182624956307815	0.12886090525228266	0.2740811457230501	BT	F-box and JmjC domain protein
3NU1Q	85.8681870152713	-1.4732410704649417	0.6012739307605292	0.0024457067624685737	0.04944982705953475	F	Catalyzes the ATP-dependent amination of UTP to CTP with either L-glutamine or ammonia as the source of nitrogen
3NU1R	50.161664372229744	-0.8206937188562632	0.5355306780452186	0.07198052817390874	0.20401627853102308	G	Belongs to the protein kinase superfamily
3NU1U	64.37661541962065	-0.30613269227518025	0.5464215661544324	0.5073659030693582	0.6298234568631723	J	eukaryotic peptide chain release factor subunit 1
3NU1V	114.54471796176416	-0.67431028398185755	0.5956301005961266	0.16358735610707922	0.31363945944017413	J	Elongation factor
3NU1W	175.50176624862763	0.20859678431557513	0.5620408809485575	0.6567831902523986	0.7496651350603384	J	Belongs to the universal ribosomal protein uS4 family
3NU1X	167.45273686272023	-1.1713991958922196	0.6210227582037856	0.0175530748221131	0.10279042456971124	U	exchange factor
3NU21	30.560351522386238	-0.6601385038345406	0.5990368780741707	0.1738012884896349	0.3268252850743134	DO	Cell cycle regulatory protein
3NU25	44.348590786949785	-0.7117156894577491	0.6534201280590145	0.15663073301846597	0.30713305701073174	U	Belongs to the WD repeat SEC13 family
3NU29	61.53588921614664	-0.6713782127826087	0.5401888149357087	0.14318127640914413	0.2893605209222668	T	Belongs to the OSBP family
3NU2A	56.556274291069435	-0.897208361786625	0.6665437654690036	0.07580070691512064	0.2069566585211532	S	domain-containing protein
3NU2F	108.99586894717753	-0.9598516816239042	0.6686907424877128	0.05769622876344097	0.18369258960633422	TZ	Cytokinesis protein sepa
3NU2G	60.16406184952094	-0.8718698649375263	0.6473672317869025	0.08178717449664062	0.21260719063963876	K	factor cef-1
3NU2H	89.20039564917856	-0.5889288310779802	0.6228755383504025	0.23304988956961653	0.3881163153187972	S	Stress Response protein
3NU2J	24.574732917899468	-1.2161962583960297	0.6365778849634649	0.014606001691765578	0.09510854215666381	L	ATP binding protein
3NU2K	101.43911240766661	-1.146170858522288	0.6504207823422026	0.022343946409247698	0.11376554719910441	UY	nucleoporin
3NU2N	51.47627532309665	-0.10040254750237039	0.6371765823490794	0.8402847043129457	0.8885247977401365	FP	nucleotidase
3NU2Q	242.25439115674226	-0.5450021035890545	0.5584827657528959	0.2439410292673319	0.39905963190874866	A	factor 8
3NU2R	251.52018332337724	0.21420995390452077	0.5426113363093772	0.6413261038594313	0.7363120691620003	J	60S ribosomal protein L5
3NU2S	33.77775577451188	0.21799044775959264	0.5510094030079514	0.6385509893184742	0.7350840715712136	I	Belongs to the CDP-alcohol phosphatidyltransferase class-I family
3NU2T	344.0742972533657	-0.9290508060308483	0.6379404308848471	0.06232280758407619	0.19068285279597008	Q	resistance protein
3NU2V	23.284982996278835	-0.6926229314326692	0.710088555791942	0.175054735024268	NA	Q	Belongs to the short-chain dehydrogenases reductases (SDR) family
3NU2Z	57.31541581779484	-0.22508412881571488	0.6957726022806139	0.6587577528326862	0.7513749881445493	IKT	Belongs to the inositol phosphokinase (IPK) family
3NU32	30.2388126794373	-1.0893334602956826	0.6543225075645243	0.03022487451975745	0.12821772557101832	H	Belongs to the eukaryotic NMN adenylyltransferase family
3NU38	35.891036519952614	-1.115889148078347	0.6186797513373703	0.023454403617247595	0.11435348369947641	E	Aspartokinase
3NU39	62.350474401634564	-1.789002624194685	0.6462474942844795	3.5261213370706666e-4	0.029741200860128242	L	Component of the post-replicative DNA mismatch repair system (MMR)
3NU3B	30.68401291484881	-0.016453593255948966	0.624625097090495	0.9734517870115471	0.9833234299265639	D	Belongs to the class I-like SAM-binding methyltransferase superfamily. RsmB NOP family
