qseq_name	sseq_name	num_aligned_residues	qseq_len	sseq_len	qseq_cov	sseq_cov
gi|13774158|dbj|BAB43888.1|Staphylococcus_aureus_subsp_aureus_N315	MET_02536985	92	97	95	94.84536082474226	96.84210526315789
gi|13774158|dbj|BAB43888.1|Staphylococcus_aureus_subsp_aureus_N315	gi|499208729|ref|WP_010906269.1|Lactococcus_lactis	92	97	108	94.84536082474226	85.18518518518519
gi|13774158|dbj|BAB43888.1|Staphylococcus_aureus_subsp_aureus_N315	gi|499299116|ref|WP_010990066.1|Listeria_monocytogenes	90	97	131	92.78350515463917	68.70229007633588
gi|13774158|dbj|BAB43888.1|Staphylococcus_aureus_subsp_aureus_N315	DP_05133165	91	97	105	93.81443298969072	86.66666666666667
gi|13774158|dbj|BAB43888.1|Staphylococcus_aureus_subsp_aureus_N315	MET_02217293	93	97	122	95.87628865979381	76.22950819672131
gi|13774158|dbj|BAB43888.1|Staphylococcus_aureus_subsp_aureus_N315	tr|Q6A9K8|Q6A9K8_CUTAK	91	97	93	93.81443298969072	97.84946236559139
gi|13774158|dbj|BAB43888.1|Staphylococcus_aureus_subsp_aureus_N315	gi|3355782|emb|CAA05247.1|Lactococcus_lactis_subsp_lactis	88	97	91	90.72164948453609	96.7032967032967
gi|13774158|dbj|BAB43888.1|Staphylococcus_aureus_subsp_aureus_N315	gi|447152909|ref|WP_001230165.1|Streptococcus_pneumoniae	92	97	95	94.84536082474226	96.84210526315789
MET_02536985	gi|499208729|ref|WP_010906269.1|Lactococcus_lactis	87	95	108	91.57894736842105	80.55555555555556
MET_02536985	gi|499299116|ref|WP_010990066.1|Listeria_monocytogenes	89	95	131	93.6842105263158	67.93893129770993
MET_02536985	DP_05133165	93	95	105	97.89473684210527	88.57142857142857
MET_02536985	MET_02217293	93	95	122	97.89473684210527	76.22950819672131
MET_02536985	tr|Q6A9K8|Q6A9K8_CUTAK	87	95	93	91.57894736842105	93.54838709677419
MET_02536985	gi|3355782|emb|CAA05247.1|Lactococcus_lactis_subsp_lactis	88	95	91	92.63157894736842	96.7032967032967
MET_02536985	gi|447152909|ref|WP_001230165.1|Streptococcus_pneumoniae	95	95	95	100.0	100.0
gi|499208729|ref|WP_010906269.1|Lactococcus_lactis	gi|499299116|ref|WP_010990066.1|Listeria_monocytogenes	85	108	131	78.70370370370371	64.8854961832061
gi|499208729|ref|WP_010906269.1|Lactococcus_lactis	DP_05133165	87	108	105	80.55555555555556	82.85714285714286
gi|499208729|ref|WP_010906269.1|Lactococcus_lactis	MET_02217293	89	108	122	82.4074074074074	72.95081967213115
gi|499208729|ref|WP_010906269.1|Lactococcus_lactis	tr|Q6A9K8|Q6A9K8_CUTAK	90	108	93	83.33333333333334	96.7741935483871
gi|499208729|ref|WP_010906269.1|Lactococcus_lactis	gi|3355782|emb|CAA05247.1|Lactococcus_lactis_subsp_lactis	85	108	91	78.70370370370371	93.4065934065934
gi|499208729|ref|WP_010906269.1|Lactococcus_lactis	gi|447152909|ref|WP_001230165.1|Streptococcus_pneumoniae	87	108	95	80.55555555555556	91.57894736842105
gi|499299116|ref|WP_010990066.1|Listeria_monocytogenes	DP_05133165	88	131	105	67.17557251908397	83.80952380952381
gi|499299116|ref|WP_010990066.1|Listeria_monocytogenes	MET_02217293	90	131	122	68.70229007633588	73.77049180327869
gi|499299116|ref|WP_010990066.1|Listeria_monocytogenes	tr|Q6A9K8|Q6A9K8_CUTAK	84	131	93	64.12213740458014	90.32258064516128
gi|499299116|ref|WP_010990066.1|Listeria_monocytogenes	gi|3355782|emb|CAA05247.1|Lactococcus_lactis_subsp_lactis	87	131	91	66.41221374045801	95.6043956043956
gi|499299116|ref|WP_010990066.1|Listeria_monocytogenes	gi|447152909|ref|WP_001230165.1|Streptococcus_pneumoniae	89	131	95	67.93893129770993	93.6842105263158
DP_05133165	MET_02217293	91	105	122	86.66666666666667	74.59016393442623
DP_05133165	tr|Q6A9K8|Q6A9K8_CUTAK	86	105	93	81.9047619047619	92.47311827956989
DP_05133165	gi|3355782|emb|CAA05247.1|Lactococcus_lactis_subsp_lactis	89	105	91	84.76190476190476	97.8021978021978
DP_05133165	gi|447152909|ref|WP_001230165.1|Streptococcus_pneumoniae	93	105	95	88.57142857142857	97.89473684210527
MET_02217293	tr|Q6A9K8|Q6A9K8_CUTAK	87	122	93	71.31147540983606	93.54838709677419
MET_02217293	gi|3355782|emb|CAA05247.1|Lactococcus_lactis_subsp_lactis	89	122	91	72.95081967213115	97.8021978021978
MET_02217293	gi|447152909|ref|WP_001230165.1|Streptococcus_pneumoniae	93	122	95	76.22950819672131	97.89473684210527
tr|Q6A9K8|Q6A9K8_CUTAK	gi|3355782|emb|CAA05247.1|Lactococcus_lactis_subsp_lactis	82	93	91	88.17204301075269	90.10989010989012
tr|Q6A9K8|Q6A9K8_CUTAK	gi|447152909|ref|WP_001230165.1|Streptococcus_pneumoniae	87	93	95	93.54838709677419	91.57894736842105
gi|3355782|emb|CAA05247.1|Lactococcus_lactis_subsp_lactis	gi|447152909|ref|WP_001230165.1|Streptococcus_pneumoniae	88	91	95	96.7032967032967	92.63157894736842
