uniref90_ID	percent_cov	AA_length	unpaired_read_count	uniref90_desc	emapper_max_annot_OG	emapper_OG	emapper_max_annot_lvl	eggnog_cat	eggnog_GO	eggnog_desc	uniref90_GO
UniRef90_A0A017SDL1	55.8442	77	2	UniRef90_A0A017SDL1 Hva1_TUDOR domain-containing protein n=3 Tax=Aspergillus TaxID=5052 RepID=A0A017SDL1_9EURO	-	-	-	-	-	-	-
UniRef90_A0A023W1N0	65.7895	76	2	UniRef90_A0A023W1N0 Elongation factor 1-alpha (Fragment) n=2 Tax=Graphis scripta TaxID=71600 RepID=A0A023W1N0_9LECA	3NU3J	COG5256@1|root,KOG0052@2759|Eukaryota,38G33@33154|Opisthokonta,3NU3J@4751|Fungi,3QNF5@4890|Ascomycota,20D3Y@147545|Eurotiomycetes,3MQ1J@451870|Chaetothyriomycetidae	4751|Fungi	J	GO:0000166,GO:0000322,GO:0000323,GO:0000324,GO:0000329,GO:0001882,GO:0001883,GO:0002181,GO:0002182,GO:0003674,GO:0003676,GO:0003723,GO:0003746,GO:0003779,GO:0003824,GO:0003924,GO:0005488,GO:0005515,GO:0005516,GO:0005525,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005773,GO:0005774,GO:0005829,GO:0005840,GO:0005853,GO:0005856,GO:0006403,GO:0006405,GO:0006409,GO:0006412,GO:0006414,GO:0006518,GO:0006611,GO:0006807,GO:0006810,GO:0006886,GO:0006913,GO:0008092,GO:0008104,GO:0008135,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009277,GO:0009986,GO:0009987,GO:0010467,GO:0015031,GO:0015833,GO:0015931,GO:0016020,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0017076,GO:0017111,GO:0019001,GO:0019003,GO:0019538,GO:0030312,GO:0030445,GO:0030446,GO:0031090,GO:0031503,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032561,GO:0032991,GO:0033036,GO:0034613,GO:0034641,GO:0034645,GO:0035639,GO:0036094,GO:0042886,GO:0043043,GO:0043167,GO:0043168,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044403,GO:0044419,GO:0044422,GO:0044424,GO:0044437,GO:0044444,GO:0044446,GO:0044464,GO:0045184,GO:0046907,GO:0050657,GO:0050658,GO:0051031,GO:0051168,GO:0051169,GO:0051179,GO:0051234,GO:0051236,GO:0051641,GO:0051649,GO:0051701,GO:0051704,GO:0070727,GO:0071166,GO:0071426,GO:0071431,GO:0071702,GO:0071704,GO:0071705,GO:0071944,GO:0097064,GO:0097159,GO:0097367,GO:0098588,GO:0098805,GO:0098852,GO:1901265,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis	GO:0005525,GO:0003924,GO:0003746
UniRef90_A0A031HTI6	52.2727	88	1	UniRef90_A0A031HTI6 Transposase IS3/IS911 n=7 Tax=Sphingomonas TaxID=13687 RepID=A0A031HTI6_9SPHN	2K66A	COG2963@1|root,COG2963@2|Bacteria,1MZ3D@1224|Proteobacteria,2UBSS@28211|Alphaproteobacteria,2K66A@204457|Sphingomonadales	204457|Sphingomonadales	L	-	COG2801 Transposase and inactivated derivatives	GO:0003677,GO:0004803,GO:0006313
UniRef90_A0A031JB03	55.7143	70	2	UniRef90_A0A031JB03 Uncharacterized protein n=2 Tax=Sphingomonadaceae TaxID=41297 RepID=A0A031JB03_SPHPI	2K8BM	2A9H0@1|root,30YP0@2|Bacteria,1PAPZ@1224|Proteobacteria,2UYVB@28211|Alphaproteobacteria,2K8BM@204457|Sphingomonadales	204457|Sphingomonadales	-	-	-	-
UniRef90_A0A058ZMK1	84.2105	57	1	UniRef90_A0A058ZMK1 Phosphopyruvate hydratase (Fragment) n=2 Tax=Bacteria TaxID=2 RepID=A0A058ZMK1_9RHOB	2UUZH	COG0148@1|root,COG0148@2|Bacteria,1P3RV@1224|Proteobacteria,2UUZH@28211|Alphaproteobacteria	28211|Alphaproteobacteria	G	-	Enolase, C-terminal TIM barrel domain	GO:0005576,GO:0000015,GO:0000287,GO:0004634,GO:0006096
UniRef90_A0A060BSD4	66.2162	74	1	UniRef90_A0A060BSD4 CAZy families PL1 protein (Fragment) n=2 Tax=cellular organisms TaxID=131567 RepID=A0A060BSD4_9BACT	-	-	-	-	-	-	-
UniRef90_A0A060VS97	87.4074	135	22	UniRef90_A0A060VS97 Uncharacterized protein n=1 Tax=Oncorhynchus mykiss TaxID=8022 RepID=A0A060VS97_ONCMY	-	-	-	-	-	-	-
UniRef90_A0A060VVK8	52.8571	70	6	UniRef90_A0A060VVK8 HTH_Tnp_Tc3_2 domain-containing protein n=1 Tax=Oncorhynchus mykiss TaxID=8022 RepID=A0A060VVK8_ONCMY	3BIC8	28N8N@1|root,2QUTZ@2759|Eukaryota,39XUZ@33154|Opisthokonta,3BIC8@33208|Metazoa,3D1M8@33213|Bilateria,48DCS@7711|Chordata,49178@7742|Vertebrata,4A57R@7898|Actinopterygii	33208|Metazoa	S	-	-	GO:0003677,GO:0015074,GO:0006313
UniRef90_A0A060VXL7	53	100	2	UniRef90_A0A060VXL7 Uncharacterized protein n=1 Tax=Oncorhynchus mykiss TaxID=8022 RepID=A0A060VXL7_ONCMY	-	-	-	-	-	-	-
UniRef90_A0A060VYL6	55.1515	165	6	UniRef90_A0A060VYL6 Integrase catalytic domain-containing protein n=1 Tax=Oncorhynchus mykiss TaxID=8022 RepID=A0A060VYL6_ONCMY	-	-	-	-	-	-	GO:0003676,GO:0015074
UniRef90_A0A060VYT1	53.7634	93	2	UniRef90_A0A060VYT1 Tnp_zf-ribbon_2 domain-containing protein n=6 Tax=Salmoninae TaxID=504568 RepID=A0A060VYT1_ONCMY	-	-	-	-	-	-	-
UniRef90_A0A060W2Q3	77.027	74	22	UniRef90_A0A060W2Q3 Uncharacterized protein n=1 Tax=Oncorhynchus mykiss TaxID=8022 RepID=A0A060W2Q3_ONCMY	-	-	-	-	-	-	-
UniRef90_A0A060W5U8	63.7795	127	6	UniRef90_A0A060W5U8 Uncharacterized protein n=1 Tax=Oncorhynchus mykiss TaxID=8022 RepID=A0A060W5U8_ONCMY	-	-	-	-	-	-	-
UniRef90_A0A060W7P7	58.642	162	8	UniRef90_A0A060W7P7 Uncharacterized protein n=1 Tax=Oncorhynchus mykiss TaxID=8022 RepID=A0A060W7P7_ONCMY	-	-	-	-	-	-	-
UniRef90_A0A060WBW3	63.1579	76	4	UniRef90_A0A060WBW3 Uncharacterized protein n=1 Tax=Oncorhynchus mykiss TaxID=8022 RepID=A0A060WBW3_ONCMY	-	-	-	-	-	-	-
UniRef90_A0A060WID7	51.0204	98	4	UniRef90_A0A060WID7 Uncharacterized protein n=1 Tax=Oncorhynchus mykiss TaxID=8022 RepID=A0A060WID7_ONCMY	-	-	-	-	-	-	-
UniRef90_A0A060WIE2	88.6792	106	5	UniRef90_A0A060WIE2 Uncharacterized protein n=1 Tax=Oncorhynchus mykiss TaxID=8022 RepID=A0A060WIE2_ONCMY	-	-	-	-	-	-	-
UniRef90_A0A060WQE2	63.8554	83	2	UniRef90_A0A060WQE2 Uncharacterized protein n=1 Tax=Oncorhynchus mykiss TaxID=8022 RepID=A0A060WQE2_ONCMY	-	-	-	-	-	-	-
UniRef90_A0A060WUQ9	52.2727	88	6	UniRef90_A0A060WUQ9 Uncharacterized protein n=1 Tax=Oncorhynchus mykiss TaxID=8022 RepID=A0A060WUQ9_ONCMY	-	-	-	-	-	-	-
