uniref90_ID	percent_cov	AA_length	unpaired_read_count	uniref90_desc	emapper_max_annot_OG	emapper_OG	emapper_max_annot_lvl	eggnog_cat	eggnog_GO	eggnog_desc	uniref90_GO
UniRef90_A0A060VNE8	66.6667	75	2	UniRef90_A0A060VNE8 Uncharacterized protein n=1 Tax=Oncorhynchus mykiss TaxID=8022 RepID=A0A060VNE8_ONCMY	3BTPZ	KOG1075@1|root,KOG1075@2759|Eukaryota,3A7X5@33154|Opisthokonta,3BTPZ@33208|Metazoa,3D9N3@33213|Bilateria,48H7G@7711|Chordata,49FFY@7742|Vertebrata,4A6MA@7898|Actinopterygii	33208|Metazoa	S	-	interleukin-8 biosynthetic process	-
UniRef90_A0A060VZK1	75.3968	126	50	UniRef90_A0A060VZK1 Uncharacterized protein n=1 Tax=Oncorhynchus mykiss TaxID=8022 RepID=A0A060VZK1_ONCMY	-	-	-	-	-	-	-
UniRef90_A0A060W2Q3	71.6216	74	23	UniRef90_A0A060W2Q3 Uncharacterized protein n=1 Tax=Oncorhynchus mykiss TaxID=8022 RepID=A0A060W2Q3_ONCMY	-	-	-	-	-	-	-
UniRef90_A0A060W5K2	63.7584	149	2	UniRef90_A0A060W5K2 HTH_Tnp_Tc3_2 domain-containing protein n=1 Tax=Oncorhynchus mykiss TaxID=8022 RepID=A0A060W5K2_ONCMY	3BIC8	28N8N@1|root,2QUTZ@2759|Eukaryota,39XUZ@33154|Opisthokonta,3BIC8@33208|Metazoa,3D1M8@33213|Bilateria,48DCS@7711|Chordata,49178@7742|Vertebrata,4A57R@7898|Actinopterygii	33208|Metazoa	S	-	-	GO:0003677,GO:0015074,GO:0006313
UniRef90_A0A060W6K6	65.6442	163	10	UniRef90_A0A060W6K6 Uncharacterized protein n=1 Tax=Oncorhynchus mykiss TaxID=8022 RepID=A0A060W6K6_ONCMY	3BIC8	28N8N@1|root,2QUTZ@2759|Eukaryota,39XUZ@33154|Opisthokonta,3BIC8@33208|Metazoa,3D1M8@33213|Bilateria,48DCS@7711|Chordata,49178@7742|Vertebrata,4A57R@7898|Actinopterygii	33208|Metazoa	S	-	-	GO:0003676
UniRef90_A0A060W9G7	58.75	80	3	UniRef90_A0A060W9G7 Uncharacterized protein n=1 Tax=Oncorhynchus mykiss TaxID=8022 RepID=A0A060W9G7_ONCMY	-	-	-	-	-	-	-
UniRef90_A0A060WAS1	67.1698	265	9	UniRef90_A0A060WAS1 Reverse transcriptase domain-containing protein n=1 Tax=Oncorhynchus mykiss TaxID=8022 RepID=A0A060WAS1_ONCMY	-	-	-	-	-	-	-
UniRef90_A0A060WG64	61.3208	212	15	UniRef90_A0A060WG64 Uncharacterized protein n=1 Tax=Oncorhynchus mykiss TaxID=8022 RepID=A0A060WG64_ONCMY	-	-	-	-	-	-	-
UniRef90_A0A060WKM9	66.1972	71	2	UniRef90_A0A060WKM9 DDE_3 domain-containing protein n=1 Tax=Oncorhynchus mykiss TaxID=8022 RepID=A0A060WKM9_ONCMY	-	-	-	-	-	-	GO:0003676
UniRef90_A0A060WN58	63.7255	102	4	UniRef90_A0A060WN58 Reverse transcriptase domain-containing protein n=1 Tax=Oncorhynchus mykiss TaxID=8022 RepID=A0A060WN58_ONCMY	-	-	-	-	-	-	-
UniRef90_A0A060WRZ2	73.4375	128	14	UniRef90_A0A060WRZ2 Uncharacterized protein n=1 Tax=Oncorhynchus mykiss TaxID=8022 RepID=A0A060WRZ2_ONCMY	-	-	-	-	-	-	-
UniRef90_A0A060WUQ9	72.7273	88	5	UniRef90_A0A060WUQ9 Uncharacterized protein n=1 Tax=Oncorhynchus mykiss TaxID=8022 RepID=A0A060WUQ9_ONCMY	-	-	-	-	-	-	-
UniRef90_A0A060WUT9	75	76	3	UniRef90_A0A060WUT9 Uncharacterized protein n=1 Tax=Oncorhynchus mykiss TaxID=8022 RepID=A0A060WUT9_ONCMY	-	-	-	-	-	-	GO:0003676
UniRef90_A0A060WW91	62.3529	85	10	UniRef90_A0A060WW91 Uncharacterized protein n=1 Tax=Oncorhynchus mykiss TaxID=8022 RepID=A0A060WW91_ONCMY	-	-	-	-	-	-	-
UniRef90_A0A060WX12	81.1111	90	34	UniRef90_A0A060WX12 Paired domain-containing protein n=1 Tax=Oncorhynchus mykiss TaxID=8022 RepID=A0A060WX12_ONCMY	-	-	-	-	-	-	GO:0003677,GO:0006355
UniRef90_A0A060WZU4	58.1395	86	6	UniRef90_A0A060WZU4 Uncharacterized protein n=1 Tax=Oncorhynchus mykiss TaxID=8022 RepID=A0A060WZU4_ONCMY	-	-	-	-	-	-	-
UniRef90_A0A060X2Y4	55.8824	136	7	UniRef90_A0A060X2Y4 DDE_3 domain-containing protein n=1 Tax=Oncorhynchus mykiss TaxID=8022 RepID=A0A060X2Y4_ONCMY	3CNIB	2CZ2E@1|root,2S808@2759|Eukaryota,3AAWE@33154|Opisthokonta,3CNIB@33208|Metazoa,3E4QH@33213|Bilateria,48MBV@7711|Chordata	33208|Metazoa	S	-	DDE superfamily endonuclease	GO:0003676
UniRef90_A0A060X5Z9	54.5455	88	2	UniRef90_A0A060X5Z9 Uncharacterized protein n=1 Tax=Oncorhynchus mykiss TaxID=8022 RepID=A0A060X5Z9_ONCMY	-	-	-	-	-	-	-
UniRef90_A0A060X704	98.4615	65	8	UniRef90_A0A060X704 Reverse transcriptase domain-containing protein n=1 Tax=Oncorhynchus mykiss TaxID=8022 RepID=A0A060X704_ONCMY	-	-	-	-	-	-	-
UniRef90_A0A060X741	61.0738	149	24	UniRef90_A0A060X741 Uncharacterized protein n=1 Tax=Oncorhynchus mykiss TaxID=8022 RepID=A0A060X741_ONCMY	-	-	-	-	-	-	GO:0016021
UniRef90_A0A060X873	60.3659	164	9	UniRef90_A0A060X873 Uncharacterized protein n=1 Tax=Oncorhynchus mykiss TaxID=8022 RepID=A0A060X873_ONCMY	-	-	-	-	-	-	-
UniRef90_A0A060X8U4	52.0619	194	3	UniRef90_A0A060X8U4 Uncharacterized protein n=1 Tax=Oncorhynchus mykiss TaxID=8022 RepID=A0A060X8U4_ONCMY	-	-	-	-	-	-	GO:0003676
UniRef90_A0A060XAF9	61.2069	116	4	UniRef90_A0A060XAF9 Uncharacterized protein n=1 Tax=Oncorhynchus mykiss TaxID=8022 RepID=A0A060XAF9_ONCMY	-	-	-	-	-	-	-
UniRef90_A0A060XBZ1	74.2424	66	1	UniRef90_A0A060XBZ1 Uncharacterized protein n=1 Tax=Oncorhynchus mykiss TaxID=8022 RepID=A0A060XBZ1_ONCMY	-	-	-	-	-	-	-
UniRef90_A0A060XCK9	59.0909	110	36	UniRef90_A0A060XCK9 Uncharacterized protein n=1 Tax=Oncorhynchus mykiss TaxID=8022 RepID=A0A060XCK9_ONCMY	-	-	-	-	-	-	-
UniRef90_A0A060XCY8	75.5725	131	2	UniRef90_A0A060XCY8 Reverse transcriptase domain-containing protein n=1 Tax=Oncorhynchus mykiss TaxID=8022 RepID=A0A060XCY8_ONCMY	-	-	-	-	-	-	-
UniRef90_A0A060XGQ7	67.1053	76	2	UniRef90_A0A060XGQ7 Uncharacterized protein n=1 Tax=Oncorhynchus mykiss TaxID=8022 RepID=A0A060XGQ7_ONCMY	-	-	-	-	-	-	-
UniRef90_A0A060XJA8	50.4505	111	2	UniRef90_A0A060XJA8 Reverse transcriptase domain-containing protein n=1 Tax=Oncorhynchus mykiss TaxID=8022 RepID=A0A060XJA8_ONCMY	-	-	-	-	-	-	-
UniRef90_A0A060XJH1	52.2936	109	2	UniRef90_A0A060XJH1 DUF1891 domain-containing protein n=1 Tax=Oncorhynchus mykiss TaxID=8022 RepID=A0A060XJH1_ONCMY	-	-	-	-	-	-	GO:0016706,GO:0008168
UniRef90_A0A060XNN0	51.6854	89	3	UniRef90_A0A060XNN0 Uncharacterized protein n=1 Tax=Oncorhynchus mykiss TaxID=8022 RepID=A0A060XNN0_ONCMY	-	-	-	-	-	-	-
UniRef90_A0A060XT60	84.4828	58	3	UniRef90_A0A060XT60 Uncharacterized protein n=1 Tax=Oncorhynchus mykiss TaxID=8022 RepID=A0A060XT60_ONCMY	-	-	-	-	-	-	-
UniRef90_A0A060XYE4	71.9697	132	10	UniRef90_A0A060XYE4 Uncharacterized protein n=1 Tax=Oncorhynchus mykiss TaxID=8022 RepID=A0A060XYE4_ONCMY	3BTPZ	KOG1075@1|root,KOG1075@2759|Eukaryota,3A7X5@33154|Opisthokonta,3BTPZ@33208|Metazoa,3D9N3@33213|Bilateria,48H7G@7711|Chordata,49FFY@7742|Vertebrata,4A6MA@7898|Actinopterygii	33208|Metazoa	S	-	interleukin-8 biosynthetic process	-
UniRef90_A0A060XZE3	50.5495	91	1	UniRef90_A0A060XZE3 HTH_Tnp_Tc3_2 domain-containing protein n=1 Tax=Oncorhynchus mykiss TaxID=8022 RepID=A0A060XZE3_ONCMY	-	-	-	-	-	-	GO:0003677,GO:0015074,GO:0006313
UniRef90_A0A060Y4B8	81.4815	162	9	UniRef90_A0A060Y4B8 Reverse transcriptase domain-containing protein n=1 Tax=Oncorhynchus mykiss TaxID=8022 RepID=A0A060Y4B8_ONCMY	3BTPZ	KOG1075@1|root,KOG4308@1|root,KOG1075@2759|Eukaryota,KOG4308@2759|Eukaryota,3A7X5@33154|Opisthokonta,3BTPZ@33208|Metazoa,3D9N3@33213|Bilateria,48H7G@7711|Chordata,49FFY@7742|Vertebrata,4A6MA@7898|Actinopterygii	33208|Metazoa	S	-	interleukin-8 biosynthetic process	-
UniRef90_A0A060Y4M7	67.6056	71	1	UniRef90_A0A060Y4M7 Uncharacterized protein n=2 Tax=Oncorhynchus mykiss TaxID=8022 RepID=A0A060Y4M7_ONCMY	-	-	-	-	-	-	-
UniRef90_A0A060Y4V2	68	75	3	UniRef90_A0A060Y4V2 Uncharacterized protein n=1 Tax=Oncorhynchus mykiss TaxID=8022 RepID=A0A060Y4V2_ONCMY	3BHUM	KOG3594@1|root,KOG3594@2759|Eukaryota,39DMX@33154|Opisthokonta,3BHUM@33208|Metazoa,3CUSG@33213|Bilateria,482MZ@7711|Chordata,48YMV@7742|Vertebrata,4A10V@7898|Actinopterygii	33208|Metazoa	S	-	Cadherins are calcium-dependent cell adhesion proteins	-
UniRef90_A0A060Y4Y3	62.1145	227	13	UniRef90_A0A060Y4Y3 Uncharacterized protein n=1 Tax=Oncorhynchus mykiss TaxID=8022 RepID=A0A060Y4Y3_ONCMY	-	-	-	-	-	-	-
UniRef90_A0A060Y6N9	74.1259	143	9	UniRef90_A0A060Y6N9 Uncharacterized protein n=1 Tax=Oncorhynchus mykiss TaxID=8022 RepID=A0A060Y6N9_ONCMY	-	-	-	-	-	-	-
UniRef90_A0A060Y7N2	50.3546	141	7	UniRef90_A0A060Y7N2 Uncharacterized protein n=1 Tax=Oncorhynchus mykiss TaxID=8022 RepID=A0A060Y7N2_ONCMY	-	-	-	-	-	-	-
UniRef90_A0A060Y9N0	91.6667	60	4	UniRef90_A0A060Y9N0 Uncharacterized protein n=1 Tax=Oncorhynchus mykiss TaxID=8022 RepID=A0A060Y9N0_ONCMY	-	-	-	-	-	-	GO:0003676
