"Virus name"; "Genome length"; "Genome type"; "Genome segments"; "Taxonomy ID"; "RefSeq ID"; "Updated"
Human papillomavirus 4, complete genome;7353;linear DNA;1;10617;NC_001457;2018-08-13
Human papillomavirus type 48, complete genome;7100;linear DNA;1;40538;NC_001690;2018-08-13
Human papillomavirus type 50, complete genome;7184;linear DNA;1;40539;NC_001691;2018-08-13
Human papillomavirus type 60, complete genome;7313;linear DNA;1;40540;NC_001693;2018-08-13
human papillomavirus 103, complete genome;7263;circular DNA;1;338323;NC_008188;2018-08-13
Human papillomavirus type 101, complete genome;7259;circular DNA;1;915425;NC_008189;2018-08-13
Human papillomavirus type 88, complete genome;7326;circular DNA;1;337054;NC_010329;2018-08-13
human papillomavirus 108, complete genome;7149;circular DNA;1;565537;NC_012213;2019-06-04
Human papillomavirus 109, complete genome;7346;circular DNA;1;915426;NC_012485;2018-08-13
Human papillomavirus type 112, complete genome;7227;circular DNA;1;915427;NC_012486;2018-08-13
Human papillomavirus 116, complete genome;7184;circular DNA;1;915428;NC_013035;2018-08-13
Human papillomavirus 121, complete genome;7342;circular DNA;1;915429;NC_014185;2018-08-13
Human papillomavirus 127, complete genome;7181;circular DNA;1;746832;NC_014469;2018-08-13
Human papillomavirus type 128, complete genome;7259;circular DNA;1;931209;NC_014952;2019-06-04
Human papillomavirus type 129, complete genome;7219;circular DNA;1;931210;NC_014953;2019-06-04
Human papillomavirus type 131, complete genome;7182;circular DNA;1;909330;NC_014954;2019-06-04
Human papillomavirus 132, complete genome;7125;circular DNA;1;909331;NC_014955;2023-05-07
Human papillomavirus 134, complete genome;7309;circular DNA;1;909333;NC_014956;2019-06-04
Human papillomavirus 126, complete genome;7326;circular DNA;1;1055684;NC_016157;2018-08-13
Human papillomavirus 135, complete genome;7293;circular DNA;1;1070408;NC_017993;2018-08-13
Human papillomavirus 136, complete genome;7319;circular DNA;1;1070409;NC_017994;2018-08-13
Human papillomavirus type 137, complete genome;7236;circular DNA;1;1070410;NC_017995;2018-08-13
Human papillomavirus 140, complete genome;7341;circular DNA;1;1070413;NC_017996;2018-08-13
Human papillomavirus type 144, complete genome;7271;circular DNA;1;1070417;NC_017997;2018-08-13
human papillomavirus 166, complete genome;7212;circular DNA;1;1315259;NC_019023;2018-08-13
Human papillomavirus 154, complete genome;7286;circular DNA;1;1195796;NC_021483;2018-08-13
Human papillomavirus 179, complete genome;7228;linear DNA;1;1472342;NC_022095;2018-08-13
Human papillomavirus 167, complete genome;7228;circular DNA;1;1420545;NC_022892;2018-08-13
Human papillomavirus 178, complete genome;7314;linear DNA;1;1478160;NC_023891;2018-08-13
Human papillomavirus KC5, complete genome;7143;circular DNA;1;1647924;NC_026946;2018-08-13
Human papillomavirus 201, complete genome;7291;circular DNA;1;1682340;NC_027528;2018-08-13
human papillomavirus 163, complete genome;7233;circular DNA;1;1315262;NC_028125;2018-08-13
Human papillomavirus type 156, complete genome;7329;circular DNA;1;1248396;NC_033781;2018-08-13
Human papillomavirus type 161, complete genome;7238;circular DNA;1;1315264;NC_038522;2018-08-24
Human papillomavirus 172, complete genome;7203;circular DNA;1;1434987;NC_038523;2018-08-24
Human papillomavirus 175, complete genome;7226;circular DNA;1;1434782;NC_038524;2018-08-24
Human papillomavirus 184, complete genome;7324;circular DNA;1;1472343;NC_038914;2018-08-24
Human papillomavirus 187, complete genome;7268;circular DNA;1;1851130;NC_039086;2018-08-24
Macaca mulatta papillomavirus 5, complete genome;7408;circular DNA;1;2364645;NC_040655;2019-09-12
Macaca mulatta papillomavirus 7, complete genome;7292;circular DNA;1;2364644;NC_040728;2019-09-12
