5.16	516	0	0	unclassified
35.52	3552	150059	82910	 Plesiomonas shigelloides
0.28	28	40	2	 Klebsiella pneumoniae
0.01	1	36	1	 Klebsiella grimontii
0.03	3	14	10	 Escherichia coli
0.01	1	4	2	 Enterobacter cloacae
0.01	1	14	8	 Rouxiella badensis
21.64	2164	66932	35661	 Vibrio vulnificus
0.02	2	27	18	 Vibrio parahaemolyticus
0.02	2	10	8	 Vibrio ziniensis
0.01	1	4	4	 Vibrio cholerae
0.01	1	1	1	 Vibrio cincinnatiensis
0.01	1	1	1	 Vibrio sp. HDW18
0.01	1	4	4	 Vibrio breoganii
0.01	1	39	14	 Vibrio navarrensis
0.01	1	2	2	 Vibrio neptunius
0.01	1	3	1	 Candidatus Enterovibrio luxaltus
0.04	4	23	19	 Pseudomonas fluorescens
0.02	2	13	10	 Pseudomonas brenneri
0.01	1	1	1	 Pseudomonas sp. CC6-YY-74
0.01	1	1	1	 Pseudomonas sp. NIBRBAC000502773
0.01	1	6	5	 Pseudomonas sp. So3.2b
0.01	1	2	2	 Pseudomonas alvandae
0.01	1	2	2	 Pseudomonas putida
0.01	1	17	17	 Acinetobacter guillouiae
0.04	4	7	2	 Xanthomonas euvesicatoria
0.08	8	149	120	 Brevundimonas sp. Bb-A
0.07	7	59	53	 Brevundimonas sp. DS20
0.01	1	8	8	 Brevundimonas sp. GW460-12-10-14-LB2
0.01	1	2	1	 Brevundimonas sp. MF30-B
0.01	1	3	3	 Brevundimonas sp. 'scallop'
0.01	1	2	1	 Caulobacter flavus
0.01	1	4	4	 Methylobacterium brachiatum
0.01	1	3	3	 Methylorubrum zatmanii
0.01	1	2	1	 Variibacter gotjawalensis
0.01	1	44	26	 Mesorhizobium sp. DCY119
0.01	1	56	28	 Rhizobium pusense
0.01	1	2	2	 Bosea sp. RAC05
0.01	1	11	6	 Xanthobacter sp. YN2
0.01	1	4	4	 Sphingomonas sp. AK-PDB1-5
0.01	1	1	1	 Sphingomonas sp. AP4-R1
0.01	1	1	1	 Sphingomonas aliaeris
0.01	1	3	3	 Sphingomonas taxi
0.01	1	2	2	 Sphingopyxis fribergensis
0.01	1	36	30	 Sphingopyxis sp. FD7
0.01	1	1	1	 Paracoccus sp. AK26
0.01	1	22	22	 Paracoccus sp. H4-D09
0.01	1	2	2	 Paracoccus contaminans
0.02	2	71	47	 Herbaspirillum huttiense
0.01	1	1	1	 Massilia sp. NP310
0.01	1	1	1	 Achromobacter sp. B7
0.01	1	19	14	 Alcaligenes aquatilis
0.01	1	1	1	 Xylophilus rhododendri
0.01	1	2	1	 Mitsuaria sp. 7
24.23	2423	67994	43462	 Listeria monocytogenes
0.12	12	42	38	 Listeria ivanovii
0.08	8	17	15	 Listeria grayi
0.06	6	47	33	 Listeria innocua
0.03	3	38	34	 Listeria welshimeri
0.03	3	6	5	 Listeria sp. PSOL-1
0.01	1	31	25	 Listeria seeligeri
0.01	1	2	2	 Listeria weihenstephanensis
0.08	8	139	99	 Staphylococcus hominis
0.02	2	25	25	 Staphylococcus epidermidis
0.01	1	6	1	 Staphylococcus simulans
0.01	1	12	6	 Staphylococcus warneri
0.07	7	174	156	 Curtobacterium flaccumfaciens
0.01	1	1	1	 Curtobacterium sp. BH-2-1-1
0.01	1	1	1	 Rathayibacter sp. VKM Ac-2760
0.01	1	1	1	 Rathayibacter rathayi
0.02	2	11	11	 Herbiconiux sp. SALV-R1
0.01	1	1	1	 Mycetocola sp. JXN-3
0.01	1	11	11	 Frigoribacterium sp. NBH87
0.01	1	4	2	 Dermabacter jinjuensis
0.01	1	3	3	 Janibacter limosus
0.01	1	2	2	 Arthrobacter agilis
0.13	13	385	298	 Cutibacterium acnes
0.01	1	4	4	 Nocardioides sp. S5
0.01	1	3	3	 Nocardioides sp. MC1495
0.01	1	4	4	 Nocardioides anomalus
0.01	1	4	4	 Nocardioides aquaticus
0.01	1	2	1	 Aeromicrobium erythreum
0.01	1	2	2	 Aeromicrobium chenweiae
0.02	2	13	13	 Corynebacterium tuberculostearicum
0.01	1	3	3	 Corynebacterium sp. zg-917
0.01	1	1	1	 Rhodococcus sp. PBTS 1
0.01	1	6	3	 Streptomyces sp. SN-593
0.01	1	2	1	 Streptomyces sp. 135
0.01	1	2	1	 Flavobacterium album
0.01	1	3	3	 Myroides fluvii
0.01	1	2	1	 Prevotella melaninogenica
0.01	1	4	2	 Verrucomicrobium spinosum
0.01	1	1	1	 Aquisphaera giovannonii
0.21	21	488	416	 Malassezia globosa
0.01	1	28	27	 Malassezia restricta
0.01	1	4	2	 Cercospora beticola
0.03	3	114	83	 Homo sapiens
0.02	2	16	9	 Listeria phage A500
0.01	1	4	1	 Vibrio phage ValB1MD-2
