pangene	length	percent_cov	unpaired_read_count
Achromobacter_xylosoxidans_cluster_10114_CUJ24319.1	351	76.0684	7
Achromobacter_xylosoxidans_cluster_5933_CCH04912.1	402	71.1443	4
Achromobacter_xylosoxidans_cluster_6246_KOQ31212.1	252	50.0000	2
Achromobacter_xylosoxidans_cluster_9265_QKI76765.1	339	62.8319	2
C_tuberculostearicum|CP065972.1_cds_QQA98527.1_1524	255	57.2549	1
C_tuberculostearicum|CP065972.1_cds_QQA99934.1_833	264	68.5606	3
C_tuberculostearicum|CP065972.1_cds_QQA99956.1_859	174	81.6092	1
C_tuberculostearicum|CP065972.1_cds_QQB00051.1_963	234	64.5299	1
C_tuberculostearicum|CP065972.1_cds_QQB00325.1_2156	522	57.8544	4
C_ureicelerivorans|CP009215.1_cds_AIL97458.1_1535	291	51.8900	2
Cutibacterium_acnes_cluster_1072_AAT83929.1	519	53.7572	3
Cutibacterium_acnes_cluster_1163_AAT83579.1	234	81.1966	4
Cutibacterium_acnes_cluster_1214_AAT83420.1	279	50.1792	2
Cutibacterium_acnes_cluster_123_KEY37484.1	565	53.8053	8
Cutibacterium_acnes_cluster_1259_EFS85860.1	321	61.3707	4
Cutibacterium_acnes_cluster_1263_EGE97353.1	534	53.1835	5
Cutibacterium_acnes_cluster_1265_EFS90191.1	357	51.2605	3
Cutibacterium_acnes_cluster_1326_EGE67368.1	591	51.0998	3
Cutibacterium_acnes_cluster_1338_EFT78242.1	417	83.2134	6
Cutibacterium_acnes_cluster_1355_OAX92824.1	366	58.7432	3
Cutibacterium_acnes_cluster_1396_EFT32154.1	864	52.5463	5
Cutibacterium_acnes_cluster_1408_EFT56593.1	312	50.0000	6
Cutibacterium_acnes_cluster_1508_PGF42232.1	747	55.6894	5
Cutibacterium_acnes_cluster_1530_EFS86582.1	426	51.1737	2
Cutibacterium_acnes_cluster_1557_EFS88078.1	279	54.1219	3
Cutibacterium_acnes_cluster_1739_EFT12863.1	543	53.2228	6
Cutibacterium_acnes_cluster_1804_AAT83545.1	525	57.5238	4
Cutibacterium_acnes_cluster_1837_ADD99476.1	309	77.0227	2
Cutibacterium_acnes_cluster_1908_AAT83227.1	249	60.6426	1
Cutibacterium_acnes_cluster_1909_AAT83055.1	216	69.9074	1
Cutibacterium_acnes_cluster_1957_EFT05646.1	180	83.8889	1
Cutibacterium_acnes_cluster_1957_EFT18491.1	210	71.9048	4
Cutibacterium_acnes_cluster_1967_AAT83026.1	555	54.0541	4
Cutibacterium_acnes_cluster_2152_AEE72891.1	330	86.9697	6
Cutibacterium_acnes_cluster_2174_EFT02984.1	207	71.4976	1
Cutibacterium_acnes_cluster_2192_EFS85904.1	219	68.9498	1
Cutibacterium_acnes_cluster_2202_AEW80723.1	282	53.5461	1
Cutibacterium_acnes_cluster_2202_EMF64836.1	228	66.2281	2
Cutibacterium_acnes_cluster_2202_TLG11840.1	258	58.5271	1
Cutibacterium_acnes_cluster_2289_EFT05042.1	225	67.1111	2
Cutibacterium_acnes_cluster_2307_EFT50224.1	216	65.7407	5
Cutibacterium_acnes_cluster_2347_EFT32632.1	339	62.8319	2
Cutibacterium_acnes_cluster_2362_EFS40613.1	210	79.0476	4
Cutibacterium_acnes_cluster_2375_KEY35258.1	789	52.9785	5
Cutibacterium_acnes_cluster_254_EFS80301.1	816	55.8824	9
Cutibacterium_acnes_cluster_2636_PGF57455.1	297	50.8418	1
Cutibacterium_acnes_cluster_2675_EFT03449.1	198	67.6768	1
Cutibacterium_acnes_cluster_2758_EFS61079.1	423	54.6099	3
Cutibacterium_acnes_cluster_276_EGR91740.1	360	76.1111	7
Cutibacterium_acnes_cluster_3002_PGF26120.1	258	91.0853	4
Cutibacterium_acnes_cluster_3242_EFS79660.1	174	100.0000	4
Cutibacterium_acnes_cluster_330_AAT82383.1	321	61.0592	2
Cutibacterium_acnes_cluster_3310_AAT83228.1	264	57.1970	1
Cutibacterium_acnes_cluster_3312_QEW96228.1	279	54.1219	2
Cutibacterium_acnes_cluster_338_AAT82460.1	396	50.2525	3
Cutibacterium_acnes_cluster_3672_EFS80302.1	300	50.3333	3
Cutibacterium_acnes_cluster_3765_BBK85356.1	240	62.9167	1
Cutibacterium_acnes_cluster_3829_AAT82445.1	192	56.7708	8
Cutibacterium_acnes_cluster_3857_EFS65277.1	171	55.5556	1
Cutibacterium_acnes_cluster_3870_REB14116.1	183	71.5847	1
Cutibacterium_acnes_cluster_3932_EFS86336.1	153	64.0523	2
Cutibacterium_acnes_cluster_3966_EFT02892.1	132	50.0000	3
Cutibacterium_acnes_cluster_4251_EFS82623.1	273	55.3114	2
Cutibacterium_acnes_cluster_4402_EFS78611.1	138	99.2754	3
Cutibacterium_acnes_cluster_4707_BCB13903.1	294	73.1293	3
Cutibacterium_acnes_cluster_4707_KEY36091.1	255	84.3137	2
Cutibacterium_acnes_cluster_4727_AGJ79951.1	261	57.8544	1
Cutibacterium_acnes_cluster_5169_EFT12705.1	189	78.3069	1
Cutibacterium_acnes_cluster_5277_EFT80434.1	252	59.9206	5
Cutibacterium_acnes_cluster_5342_EFS79410.1	186	81.1828	5
Cutibacterium_acnes_cluster_5382_EFT73771.1	174	86.7816	1
Cutibacterium_acnes_cluster_551_AAT82493.1	459	65.7952	6
Cutibacterium_acnes_cluster_5599_ESS78199.1	219	51.1416	1
Cutibacterium_acnes_cluster_5615_TLG33330.1	198	76.2626	1
Cutibacterium_acnes_cluster_604_AAT82867.1	213	65.2582	1
Cutibacterium_acnes_cluster_6075_AAT82165.1	300	50.3333	2
Cutibacterium_acnes_cluster_6230_EFS40910.1	204	53.9216	4
Cutibacterium_acnes_cluster_6247_EFS81528.1	237	60.7595	1
Cutibacterium_acnes_cluster_6256_EFT72990.1	126	65.8730	4
Cutibacterium_acnes_cluster_626_AAT82992.1	555	54.4144	7
Cutibacterium_acnes_cluster_6340_EFS65052.1	150	92.6667	6
Cutibacterium_acnes_cluster_642_AAT83130.1	264	57.1970	1
Cutibacterium_acnes_cluster_642_ADE00571.1	234	64.5299	1
Cutibacterium_acnes_cluster_6444_EFT78226.1	138	98.5507	1
Cutibacterium_acnes_cluster_6448_EGF69661.1	258	58.5271	2
Cutibacterium_acnes_cluster_647_AAT83161.1	822	50.6083	6
Cutibacterium_acnes_cluster_647_EFT01467.1	240	62.9167	3
Cutibacterium_acnes_cluster_659_ADE00108.1	348	69.2529	3
Cutibacterium_acnes_cluster_6656_AEE71880.1	294	89.1156	9
Cutibacterium_acnes_cluster_6683_EGR95183.1	195	77.4359	3
